,Description,Platform,Price,Product
39,Protect your computer from viruses.,Windows,Free,SmadAV 2020
40,Enjoy worry-free unhackable online life with real-time malware threat elimination within unbreakable Web defense,Windows,Purchase,AVG Ultimate
41,Update Symantec virus definitions and antivirus products.,Windows,Free,Symantec Virus Definitions & Security Updates (32-bit)
42,Detect and destroy malware with powerful malice intrusion prevention and website filtering.,Windows,Free,Comodo Internet Security
43,"Lock, hide, encrypt, back up, and password-protect your files, folders, and drives.",Windows,Free to try,Folder Lock
44,Enjoy worry-free unhackable online life with real-time malware threat elimination within unbreakable Web defense.,Windows,Free to try,AVG Internet Security
45,Recover your lost passwords for RAR/WinRAR archives.,Windows,Free to try,RAR Password Cracker
46,"Protect your PC from hackers, Trojans, and malicious code intrusions.",Windows,Free to try,Sygate Personal Firewall
47,"Scan for spyware, adware, Trojan horses, keyloggers, and trackware components.",Windows,Free,Bazooka Adware and Spyware Scanner
48,"Secure your computer activities, accounts, applications.",Windows,$5.99,Avira Internet Security Suite
49,Find and remove malware from your PC.,Windows,Free to try,GridinSoft Anti-Malware
50,Protect your PC from USB viruses and remove suspicious autorun.inf files.,Windows,Free to try,USB Drive Antivirus
51,Delete files from your computer permanently.,Windows,Free,File Shredder
52,"Protect PC against e-threats, shield your privacy, recover your devices in case of loss or theft.",Windows,Free to try,Bitdefender Total Security
53,Prevent online files from being accessed under improper security settings with this update.,Windows,Free,Microsoft Word 2002 Update
54,"Detect and remove viruses, worms, Trojans, dialers, and spyware.",Windows,Free,Multi Virus Cleaner 2011
55,Remove Malware without the user having to manually edit system files or the Registry.,Windows,Free,Trojan Remover Update
56,Encrypt your sensitive data with this open-source software.,Windows,Free,TrueCrypt
57,Kill unknown Trojan horses and viruses to protect your personal data.,Windows,Free to try,Trojan Guarder Gold
58,Recover password to open and extract RAR files.,Windows,Free to try,RAR Password Unlocker
59,"Set up a firewall, proxy, and a mail server.",Windows,Free to try,Proxy+
60,Protect your computer with Microsoft's latest security software.,Windows,Free,Microsoft Security Essentials (64-bit)
61,Monitor and restrict your employees' activity and Internet usage.,Windows,Free to try,OsMonitor
62,Detect and destroy malware and viruses.,Windows,Free,Comodo Antivirus
63,"Monitor and record PC activities in stealth mode and send logs via e-mail, FTP, LAN, or USB.",Windows,Free to try,All In One Keylogger
64,Block all communications with selected IP and IP ranges with ease.,Windows,Free,PeerBlock
65,"Protect your PC, remove any virus with click of a button, join the virtualization movement.",Windows,Free,Returnil System Safe Free 2011
66,Protect your personal information by blocking viruses and malware.,Windows,Free to try,Webroot SecureAnywhere AntiVirus
67,Patch a vulnerability in Word 2000 that could allow malicious code to run in a Rich Text Format (RTF) document without warning.,Windows,Free,Microsoft Word 2000 RTF Macro Vulnerability Patch
68,Surf the Web anonymously bypassing firewalls and Web site censorship.,Windows,Free,xB Browser
69,"Monitor and block Web activity, keystrokes and chat, limit gaming time, and record screenshots.",Windows,Free to try,HomeGuard (64-bit)
70,Monitor your wireless network for unauthorized intrusions.,Windows,Free,AirSnare
71,"Stop the toughest viruses and spyware, and block the most sophisticated hackers.",Windows,Free to try,ZoneAlarm Pro Antivirus+Firewall
72,Update your Ad-Aware definition file to the latest release.,Windows,Free,Ad-Aware 8.2 Definition File
73,"Browse the Web privately without any restrictions, watch BBC iplayer and UK TV from outside of UK.",Windows,Free,Expat Shield
74,Surf the Web anonymously and securely.,Windows,Free to try,OkayFreedom VPN
75,"Identify and block potential virus attacks with proactive, multi-layered, real-time, anti-phishing cybersecurity.",Windows,Free to try,ESET NOD32 Antivirus
76,Protect all of your private information from being stolen.,Windows,Free to try,Password Protector
77,"Protect your computer form viruses, worms, and trojans .",Windows,Free to try,Quick Heal AntiVirus Plus 2009
78,"Block ads, trackers, malware domains, browse anonymously and protect your online privacy.",Windows,Free to try,AdFender
79,"Remove the MSBlast worm from your Windows NT, 2000, or XP system.",Windows,Free,W32.Blaster.Worm Removal Tool
80,Patch a vulnerability in PowerPoint that could allow arbitrary code to be executed on your computer.,Windows,Free,Microsoft PowerPoint 2000 SR-1 Update: Extended Parsing Vulnerability Patch
81,"Block annoying Internet ads, such as videos, background sounds, Java applets, and Flash movies.",Windows,Free to try,Pop Up Blocker Pro Rich Media Ads Edition
82,Search your hard disk and Registry for threats to your security and privacy.,Windows,Free,Spybot - Search & Destroy Portable
83,Recover lost passwords for RAR/WinRAR archives.,Windows,Free to try,RAR Password Recovery Magic
84,Protect yourself on P2P networks by blocking IPs.,Windows,Free,PeerGuardian (Windows 98/Me)
85,Protect your online privacy by cleaning up Internet history and past activities.,Windows,Free,Free Internet Eraser
86,Detect and remove malware from PC.,Windows,Free to try,Malware Hunter
87,Protect your online privacy and secure your computer by cleaning unnecessary info.,Mac,Free,CCleaner
88,Recover lost passwords for Microsoft Word and Excel files.,Windows,Free,Free Word Excel and Password Recovery Wizard
89,"Protect your system against viruses, ransomware, malware, and spyware.",Windows,Free to try,Ashampoo Anti-Virus
90,Hide your IP address and encrypt Internet connection.,Windows,Free,Jailbreak VPN
91,Recover lost passwords of WinRAR and RAR archives/,Windows,Free,WinRAR Password Cracker
92,Protect your email from unauthorized viewing.,Windows,Free,PGPfreeware
93,Hide and encrypt files (folders) in local drive and removable drives.,Windows,Free,Wise Folder Hider
94,Protect your privacy online and unlock all blocked services.,Windows,Free to try,Vpn One Click
95,"Hide, lock, and protect your files and folders with password.",Windows,Free,My Lockbox
96,Protect your privacy while staying online.,Windows,Free,MultiProxy
97,"Get premium antivirus, identity and privacy protection for your PCs, Macs, smartphones, and tablets.",Windows,Free to try,McAfee Total Protection
98,"Protect your PC from spyware, and preserve performance.",Windows,Free,SpyCatcher Express
99,Scan your installed programs and categorize them by their security update status.,Windows,Free,Secunia Personal Software Inspector
100,Remove infections of the W32.Nimda.A@mm (Nimda) virus.,Windows,Free,W32.Nimda.A@mm (Nimda) Removal Tool
101,Sign PDF documents and Office documents digitally to avoid the data theft.,Windows,Free,Signature995
102,"Connect your smartphones, tablets, and computers into a mobile security system.",Windows,Free,TrackView
103,Provide hassle-free protection for your system.,Windows,Free to try,Quick Heal AntiVirus 2010 32-bit
104,Get the lightweight antivirus with full protection.,Windows,Free,Bitdefender Antivirus Free
105,Monitor and protect your child from offensive Web sites.,Windows,Free,K9 Web Protection
106,Wipe useless files and private records and free up your disk space.,Windows,Free to try,R-Wipe and Clean
107,Maintain your anonymity online and secure your web session.,Mac,Free to try,Hotspot Shield Elite
108,Encrypt your traffic and surf the Web anonymously.,Windows,Free to try,Steganos Online Shield VPN
109,"Track computer location, screen, camera, key logging, browser history, retrieve and delete files.",Windows,Free,LockItTight
110,Protect your folders by hiding or locking them.,Windows,Free,dirLock
111,"Detect adware and spyware, and eliminate and prevent malware installations and hidden programs.",Windows,Free to try,AdWare SpyWare SE
112,"Surf and chat anonymously, kill pop-ups, and erase Internet traces.",Windows,Free to try,Primedius WebTunnel
113,Password-protect your files and folders.,Windows,Free to try,Folder Access Pro
114,Hide IP and protect your privacy on the Internet.,Windows,Free to try,Real Hide IP
115,Eliminate adware and spyware nested in your system.,Windows,Free to try,Spy Cleaner Gold
116,Send confidential data securely over the Internet by storing it in images.,Windows,Free to try,Message Smuggler
117,Verify MD5 checksum download codes.,Windows,Free,MD5 Checker
118,"Erase Internet tracks, computer activities, program histories, and improve PC performance.",Windows,Free,Free Internet Window Washer
119,Capture keystrokes on your PC and e-mail log files to you at intervals you select.,Windows,Free,Free KeyLogger
120,Capture keystrokes on your PC and e-mail log files to you at intervals you select.,Windows,Free,Free KeyLogger
121,Uncover hidden system resources identifying known and unknown rootkits.,Windows,Free,Panda Anti-Rootkit
122,"Protect yourself against tracking, surveillance, and censorship on the Web.",Mac,Free,Tor Browser
123,"Detect and crush potentially dangerous threats, block unwanted fraudulent disruptions, and stay cyber secure.",Mac,Free to try,Malwarebytes 
124,Lets you travel the Internet with total privacy.,Windows,Free to try,Anonymity 4 Proxy
125,Remove unwanted toolbars and adwares on PC.,Windows,Free,Junkware Removal Tool
126,Update Norton AntiVirus 9.0/10.0/11.0 for Mac OS X with the latest virus definitions.,Mac,Free,Virus Definitions for Norton AntiVirus 9.0/10.0/11.0 (PowerPC/Intel)
127,"Detect and remove spyware, malware, rootkits, trojans, hijackers, and other malicious threats.",Windows,Free to try,SuperAntiSpyware Professional
128,Protect your PC against viruses and break-in attempts when surfing the Web.,Windows,Free to try,F-Secure Internet Security
129,Protect your privacy and clean up your Internet history.,Windows,Free to try,Privacy Defender
130,"Protect your computer and network from viruses, malware, spyware, and hacker attacks.",Windows,Free to try,K7 TotalSecurity
131,Keep cookies off your computer.,Windows,Free to try,Cookie Crusher
132,"Record computer location, screen, camera, key logger, browser history, retrieve and delete files.",Windows,Free,JuniorWatch
133,Protect your PC against viruses.,Windows,Free,ClamWin Antivirus
134,"Protect your system from adware, spyware, Trojan horses, worms, hijackers, and keyloggers.",Windows,Free to try,Adware Away
135,Protect your network and browse online with peace of mind.,Windows,Free to try,Panda Dome Essential
136,Hide your IP address and surf the Internet anonymously.,Windows,Free to try,SurfAnonymous
137,Check your computer for spyware and remove it.,Windows,Free to try,SpyCleaner
138,"Clean up junk, duplicate files, erase tracks, eliminate spam, and protect sensitive data.",Windows,Free to try,Anti Tracks
139,Accept or reject Internet cookies automatically.,Windows,Free to try,Cookie Pal
140,Surf the Web via secure VPN connection.,Windows,Free to try,GoTrusted Secure Tunnel
141,Surf anonymously and change your IP address location on Web sites and Internet programs.,Windows,Free to try,Hide My IP
142,"Protect your Internet privacy, clean up garbage data, and improve PC performance.",Windows,Free to try,Complete Cleanup
143,"Protect your computer with virus scanning, firewalls, and tune ups.",Windows,Free to try,Windows Live OneCare
144,"Block malware, recover Internet Explorer damage, and set up system against hackers.",Windows,Free,EAV Antivirus Suite Free Edition
145,"Protect folders, hide files, lock applications, and restrict access to other resources.",Windows,Free to try,Folder Guard
146,"Protect your Windows XP system from the ""MSBlast"" worm.",Windows,Free,Windows XP RPC Interface Buffer Overrun Security Vulnerability Patch
147,"Block banners, pop-ups, and cookies, and browse offline.",Windows,Free to try,Ad Annihilator
148,Protect your PC from viruses and malware.,Windows,Purchase,Symantec Antivirus Corporate Edition Update
149,"Protect your photos, movies, and documents with 256-bit encryption.",Windows,Free to try,Kruptos 2 Professional
150,Protect Windows from rootkit Trojan horses and malicious processes.,Windows,Free,ProcessGuard
151,Protect and preserve original computer configurations.,Windows,Free to try,Deep Freeze Standard
152,"Protect your computer against viruses, spyware, and malware.",Windows,Free to try,VirusKeeper 2011 Professional
153,Browse the web securely and avoid unwanted changes to your system.,Windows,Free to try,Sandboxie
154,Prevent hackers from exploiting a security flaw in Excel 2002 macros.,Windows,Free,Microsoft Excel 2002 for Windows Macro Modification Security Vulnerability Patch
155,Recover lost RAR protected file password.,Windows,Free,Free RAR Password Unlocker
156,Generate Wi-Fi encryption keys for wireless routers and access points.,Windows,Free,Wireless Key Generator
157,Protect up to 10 computers from malware and malicious software and websites.,Mac,Free,Sophos Home
158,"Provide 5GB of online backup, antivirus, parental control, safe browsing, PC Tune up.",Windows,Free to try,BullGuard Internet Security
159,security file shredder,Windows,Free,Sure Delete
160,Erase information about Internet sites you visit.,Windows,Free,Internet Sweeper
161,Browse internet safely and protect your kids against Internet inappropriate contents.,Windows,Free,Golden Filter Premium
162,Turn any browser into a discreet tool for safe and secure private viewing.,Windows,Free to try,Bypass Proxy Client
163,"Provides real-time protection against viruses, spyware, infected e-mail attachments and other malware.",Windows,Free to try,F-Secure Anti-Virus
164,Prevent Word from running macros without warning.,Windows,Free,Microsoft Word 2002 Macro Vulnerability Patch
165,"Clean and block phishing software, spyware, and other threats from your computer.",Windows,Free,PC Clean
166,"Eliminate all detected viruses, worms, and Trojan horses on your PC.",Windows,Free to try,Dr. Web Anti-Virus for Workstations
167,"Scan your PC and remove viruses and malware.
",Windows,Free,Dr.Web CureIt
168,"Eliminate all detected viruses, worms, and Trojan horses on your PC.",Windows,Free to try,Dr. Web Anti-Virus for Workstations
169,Scan your system for adware and spyware programs.,Windows,Free,Free Spyware Scanner
170,Recover lost Facebook logins and passwords stored in Web browsers.,Windows,Free to try,Facebook Password Recovery Master
171,Hide your private folders quickly and safely.,Windows,Free to try,Folder Hidden
172,"Safeguard online privacy, secure devices, and go beyond essentials with cloud-light, state-of-the-art protection.",Android,Free,Avast Antivirus - Mobile Security & Virus Cleaner
173,Protect your important files and keep them encrypted.,Windows,Free to try,Encrypted Magic Folders
174,Eliminate a security vulnerability that could cause email applications to fail.,Windows,Free,Windows Media Player OCX Attachment Vulnerability Patch
175,Scan and protect your PC from viruses and spyware.,Windows,Free to try,K7 Antivirus Plus
176,Keep system safe from malicious malware and detrimental virus attacks with multi-faceted protection.,Windows,Free,Filseclab Personal Firewall Professional Edition
177,"Record keystrokes, passwords, and chats in hidden mode.",Windows,Free to try,Elite Keylogger
178,"Block most Web advertising, remove and defend against malware, autofill Web logins and clean browsing history.",Windows,Free,GoGoData Toolbar
179,Encrypt files and folders using Blowfish and 3DES algorithms.  ,Windows,Free,ABI-Coder
180,Surf the Web via secured VPN tunnel.,Windows,$3.33,Private Internet Access
181,"Monitor and record user activity on PC.
",Windows,Free to try,Spyrix Free Keylogger
182,Clean your computer from viruses and malware.,Windows,Free to try,VirIT eXplorer Lite
183,Protect your PC from viruses.,Windows,Free,PC Media Anti-Virus
184,"Hide, lock, and password-protect files and folders.",Windows,Free,Easier Toolkit
185,Scan and kill malicious processes on your Windows PC.,Windows,Free,RogueKiller
186,Protect your Internet privacy by cleaning up all the tracks of Internet and computer activities.,Windows,Free to try,Privacy Eraser Pro
187,Detect apps that establish outgoing Internet connections.,Mac,Free to try,Little Snitch
188,Protect your privacy and keep your devices under control.,Windows,Free to try,Panda Dome Complete
189,Protect yourself against counterfeit and pirated Windows products.,Windows,Free,Windows Genuine Advantage Notifications
190,"Detect malware, clean up Internet privacy clutter and protect against blacklisted tracking cookies.",Mac,Free to try,MacScan
191,Specify which pop-up ads you want to be destroyed automatically.,Windows,Free,NoAds
192,"Protect your PC from malicious threats, viruses, and worms.",Windows,Free to try,Quick Heal AntiVirus Pro
193,"Password-protect your folders and files from being seen, read or modified.",Windows,Free to try,Protected Folder
194,Protect your kids from getting to adult sites while surfing the Net.,Windows,Free,Parental Filter
195,Unblock strongly and protect your privacy on your Mac.,Mac,Free to try,X-VPN
196,Patch two security vulnerabilities in Windows Media Player.,Windows,Free,Windows Media Player ASF Unchecked Buffer Vulnerability
197,Clean up and optimize your system.,Windows,Free,Zappit System Cleaner
198,"Kill pop-ups and cookies, remove Web bugs, and clean your PC.",Windows,Free to try,Ad Smasher
199,Monitor and control Internet activities.,Windows,Free to try,Big Mother
200,Encrypt and protect data with password on your removable pen drive.,Windows,Free,USB Safeguard Free
201,Generate passwords quickly.,Windows,Free,Quicky Password Generator
202,"Manage your passwords, fill your forms, and store your data safely in the cloud.",Windows,Free,LastPass Password Manager
203,Protect your computer against malicious attacks.,Windows,Free to try,Jetico Personal Firewall
204,Monitor and record from up to 32 IP cameras and up to 4 USB cameras simultaneously.,Windows,Free to try,Security Monitor Pro
205,Surf the Web anonymously and without logging and tracking your activity.,Windows,Free,ProXPN
206,Remove unwanted ads from your downloads.,Windows,Free,Webwasher
207,Surf the Web anonymously and untraceable.,Windows,Free,JAP
208,Block viruses from a USB device.,Windows,Free,USB FireWall
209,"Block pop-ups, banners, and video and social media ads in your browser.",Windows,Free to try,Adguard for Windows
210,"Filter pop-ups and pop-unders, including the intrusive messenger-service ads.",Windows,Free,FilterGate Free PopupFilter
211,Clean up the traces of your Internet activities.,Windows,Free,Internet History Cleaner
212,Connect to newtwork via free vpn client.,Windows,Free,UltraVPN
213,Get this HyperTerminal Vulnerability Patch from Microsoft.,Windows,Free,Windows Me HyperTerminal Buffer Overflow Vulnerability
214,Eliminate a security vulnerability that could allow an HTML file to shut down one of your programs and run malicious code.,Windows,Free,Office 2000 HTML Object Tag Vulnerability Patch
215,Protect your computer from malware and spyware programs.,Windows,Free,ARTAV Antivirus
216,Eliminate a security vulnerability that could allow an HTML file to shut down one of your programs and run malicious code.,Windows,Free,Office 2000 HTML Object Tag Vulnerability Patch
217,Monitor and filter all harmful and inappropriate Web sites.,Windows,Free,Naomi
218,"Reset administrator or local user passwords on Windows (DOS, Linux) system.",Windows,Free to try,Active@ Password Changer
219,Clean up unused or not responding processes.,Windows,Free,Process Cleaner
220,Protect your PC and mobile devices from different malicious threats.,Windows,Free to try,Quick Heal Total Security
221,Explore a remote computer and display the information about it.,Windows,Free,LanSpy
222,"Remove the Conficker Worm, including Conficker.A and Conficker.B variants.",Windows,Free,Conficker Removal Tool
223,"Hide files, folders, and drives and lock them with a password.",Windows,Free to try,Folder Security Personal
224,Protect your data by creating multiple encrypted vaults for all your files and folders.,Windows,Free,Cryptainer LE
225,View and eliminate contents of hidden index.dat files.,Windows,Free,Index.dat Analyzer
226,Monitor user's activity by recording keystrokes and visited Web sites.,Windows,Free,Free Keylogger Platinum
227,Hide or encrypt any file with a password using the government's AES security standard.,Windows,Free to try,Advanced File Lock
228,Protect your computer from viruses and Trojans with this program.,Windows,Free,Sentinel
229,Recover forgotten Instagram logins stored by Web browsers.,Windows,Free,SterJo Instagram Password Finder
230,Surf the Web anonymously and protect your online security and privacy.,Windows,Free,Surf Anonymous Free
231,Combines antivirus and spyware detection methods with proactive technologies,Windows,Free to try,The Shield Deluxe 2010
232,"Detect and remove spyware, encrypt your files, and erase your Internet history.",Windows,Free to try,MNS Spyware Remover & History Eraser
233,Stop different types of pop-ups on the Internet.,Windows,Free,Pop-up Blocker
234,Stop pop-ups and clean Web browser history.,Windows,Free,Promotion Toolbar
235,Detect and remove the nastiest malicious rootkits,Windows,Free,Malwarebytes Anti-Rootkit
236,"Protect your computer against malware, phishing Web sites, worms, and Trojans.",Windows,Free,Baidu Antivirus 2015
237,Remove the annoying Runonce page loads every time when you open IE7.,Windows,Free,IE7 Runonce Remover
238,Keep your business safe when e-mailing or going online.,Windows,Free to try,AVG Antivirus Business Edition
239,Wipe out all traces of your activity in browsers and Windows programs.,Windows,Free,Wash N' Go
240,"Manage Microsoft BitLocker drive encryption, lock/unlock drives protected by BitLocker.",Windows,Free,Free BitLocker Manager
241,"Remove the W32.Sobig.F@mm worm from your Windows NT, 2000, or XP system.",Windows,Free,W32.Sobig.F@mm Removal Tool
242,Recover forgotten Instagram logins stored by Web browsers.,Windows,Free,SterJo Instagram Password Finder
243,Protect your Android phone from viruses and malware.,Android,Free,CM Security AppLock AntiVirus
244,Hide your IP address and Internet traffic while surfing the Web.,Windows,Free to try,Real IP Hider
245,"Protect your sensitive data and privacy.
",Windows,Free to try,East-Tec Eraser
246,Secure and password protect USB and external drives.,Windows,Free to try,USB Secure
247,Clean Internet activities and traces of your PC.,Windows,Free to try,Evidence Cleaner
248,Monitor your children computer activities.,Windows,Free,KidLogger
249,Recover password and Microsoft Windows and Office Key.,Windows,Free,Spotmau Password and Key Finder 2010
250,Prevent malicious users from exploiting security vulnerabilities in Windows Media Player 6.4.,Windows,Free,Windows Media Player 6.4 Cumulative Vulnerability Patch
251,Eliminate deeply embedded and difficult to remove crimeware.,Windows,Free,Norton Power Eraser
252,Encrypt files on your computer with advanced security options.,Windows,Free to try,FineCrypt
253,Protect your computer with antivirus powered by cloud security system.,Windows,Free,Kingsoft Antivirus 2012
254,Protect computers from objectionable content and security threats.,Windows,Free to try,eScan Anti Virus Edition
255,Protect your USB flash drives against autorun viruses.,Windows,Free to try,USB FlashDrive Autorun Antivirus
256,Encrypt your sensitive data with AES security standard.,Windows,Free to try,MyWinLocker
257,"Delete your history, temporary Internet files, cookies, and typed URLs.",Windows,Free to try,eCleaner
258,Block spam and pop-ups and erase files generated by Web surfing.,Windows,Free to try,Pop Up Blocker Pro
259,Encrypt the transferred data and stay anonymous online.,Windows,Free,Free VPN Client
260,Block ads from Web sites and applications that use pop-ups.,Windows,Free to try,AdFree
261,Block and unblock any Web sites.,Windows,Free to try,Website Blocker
262,Rewrite Web pages and surf anonymously.,Windows,Free to try,Foxy
263,Protect your system from different virus attacks.,Windows,Free,Microsoft Windows Malicious Software Removal Tool
264,Protect your folders with a password.,Windows,Free,Folder Latch
265,Browse anonymously and secure your information while online.,Windows,Free to try,HMA VPN
266,"Rescue your computer from evil claws of nasty ransomware, boot-sector virus.",Windows,Free,Anvi Rescue Disk
267,Protect your PC against threats and malware.,Windows,Free to try,Quick Heal Anti-Virus 2006 for Windows NT/2000/XP
268,"Surf the Web anonymously, remove spyware, stop spam and clean your browsing tracks.",Windows,Free to try,GhostSurf 2007 Platinum
269,"Protect your privacy, security, and online identity.",Windows,Free,SurfEasy VPN
270,Protect your online privacy and security and get unrestricted access to Web content.,Windows,Free to try,KeepSolid VPN Unlimited
271,"Protect your home network, devices, and sensitive information.",Windows,Free to try,Avast Premium Security
272,Store all your passwords in a single database.,Windows,Free,Password Agent Lite
273,"Create strong, unique passwords for all your accounts and login with a click.",Mac,Free,1Password
274,"Be protected against viruses, spyware, phishing attacks and online scams.",Windows,$27.00,Ad-Aware Pro Security
275,Protect your private files and folders.,Windows,Free,Easy File Locker (64-bit)
276,"Protect your Windows desktops and servers from viruses, spyware, and other intrusions.",Windows,Free,Privatefirewall
277,Remove non-functioning Norton applications.,Windows,Free,Norton Removal Tool - SymNRT
278,Remove malicious programs from your PC.,Windows,Free to try,UnHackMe
279,Erase your secret files off from your HDD.,Windows,Free,Moo0 File Shredder
280,Modify your proxy settings and gain anonymous surfing capabilities.,Windows,Free to try,Proxy Switcher Standard
281,Create and manage secure and strong passwords.,Windows,Free,Random Password Generator
282,Browse the Web without ads.,Android,Free,Adblock Plus
283,Protect computer network connection from ARP poisoning attacks.,Windows,Free,Anti NetCut 3
284,Scan and kill malicious processes on your Windows PC.,Windows,Free,RogueKiller (64 bit)
285,"Protect your passwords, payments, and privacy.",Windows,Free,Blur for IE (fka DoNotTrackMe)
286,"Secure your Mac, your privacy, and your passwords for free with this all-in-one security suite.",Mac,Free,Avira Free Antivirus
287,"Purge cookies, tracks, and other items that reveal your surfing habits in Internet Explorer.",Windows,Free to try,PurgeIE
288,"Surf online with complete freedom, security, and anonymity.",Windows,Free to try,PureVPN
289,Recover lost passwords to your ZIP archives.,Windows,Free to try,Visual Zip Password Recovery Processor
290,Reset your Windows login passwords.,Windows,Free to try,Windows Password Reset Standard
291,Analyze ZoneAlarm information on hackers' intrusions into your system.,Windows,Free,VisualZone
292,Clean your disk space and permanently erase files.,Windows,Free to try,Mutilate File Wiper
293,Monitor and control the time other users spend on your computer.,Windows,Free to try,WatchDog
294,Remove traces collected by your operating system and Internet browser to ensure data is not disclosed.,Windows,Free,Washee
295,Create and encrypt your PDF files.,Windows,Free to try,pdfFactory Pro
296,Eliminate a security vulnerability that could allow access to shared files.,Windows,Free,Windows Me Share Level Password Vulnerability Patch
297,Protect your private files and folders.,Windows,Free,Easy File Locker
298,"Protect your system with a suite of anti-spyware, anti-phishing, and firewall.",Windows,Free to try,Aluria Security Center
299,"Reset Windows passwords, recover files, list system drivers, and retrieve product keys.",Windows,Free to try,PCWin Recovery w/ Windows Password Reset
300,Encrypt and decrypt files in your USB storage devices.,Windows,Free,Remora USB Disk Guard
301,Remove MSN worm and viruses.,Windows,Free,MSN Virus Cleaner
302,Manage your children's Internet usage and protect them from undesirable material on the Web.,Windows,Free to try,CyberPatrol Parental Controls
303,Monitor user activities on Android phone.,Android,Free to try,Spapp Monitoring
304,Scan and disinfect your OS without a need to install any software.,Windows,Free,Panda SafeCD
305,Get the latest security updates for Microsoft Excel 2000.,Windows,Free,Microsoft Excel 2000 Cumulative Update Patch
306,Purge Trojan horses from your PC and manage system security issues.,Windows,Free to try,Anti Trojan Elite
307,"Monitor and block Web activity, keystrokes and chat, limit gaming time, and record screenshots.",Windows,Free to try,HomeGuard (32-bit)
308,Organize your passwords and other sensitive information.,Windows,Free to try,Passwords Max
309,Prevent adware and spyware programs from installing on your system.,Windows,Free to try,Adware Agent
310,"Protect your PC you while you browse, play, or work with no impact on performance.",Windows,$29.99,Panda Cloud Antivirus Pro
