,Description,Platform,Price,Product
34,Replace the simple Print Screen tool with an advanced screenshot maker.,Windows,Free,MWSnap
35,Change the extension of any file.,Windows,Free,Extension Changer
36,"Set alarms and timers, view world times, and hear real voices tell you the time.",Windows,Free to try,Talking Time Keeper
37,Change wallpaper of your Windows 7 login screen.,Windows,Free,Windows 7 Logon Background Changer
38,Customize your desktop folder icons.,Windows,Free,130 Fun Desktop Folder Icons
39,Put analog clock with advanced functions on your desktop.,Windows,Free,ClocX
40,"Control fans of your intel mac to cool it down, monitor temp.",Mac,Free,smcFanControl
41,Convert BMP pictures to ICO icon files.,Windows,Free to try,QTam Bitmap to Icon
42,Personalize your Windows 8/8.1 start and lock screens with your own images and colors.,Windows,Free to try,Decor8
43,"Monitor widget: cpu, memory, bandwidth, drive, fans, temps...",Mac,Free,iStat pro
44,Customize your Windows shell icons.  ,Windows,Free to try,E-Icons
45,Update your Microsoft FrontPage Server with the latest release.,Windows,Free,Frontpage 2000 Server Extensions (Windows 9x and NT)
46,"Display world clock with an unlimited number of clocks, time converter, alarms, calendar, weather.
",Windows,Free to try,Sharp World Clock
47,Turn your Windows user interface to Windows 8 metro design.,Windows,Free,Windows 8 Transformation Pack
48,Create and stick different notes and manage them on your Windows desktop.,Windows,Free,7 Sticky Notes
49,Use the Start Menu in Windows 8 or Windows Server 2012.,Windows,Free,StartW8
50,Add AirPrint support to many third-party printers.,Mac,Free to try,handyPrint
51,"Automate your PC log off, shutdown, power off, reboot, and hibernate functions.",Windows,Free to try,PC Auto Shutdown
52,Navigate between applications and launch new ones via a souped-up Windows-style taskbar.,Mac,Free to try,Action GoMac
53,Use this powerful wallpaper management tool.,Windows,Free to try,Power Wallpaper Changer
54,Monitor the time in different time zones in your Windows system tray or on desktop.,Windows,Free to try,Anuko World Clock
55,Perform Windows configuration and management.,Windows,Free to try,Tweaki for Power Users
56,"Turn BMP, JPEG, GIF, PNG, TGA, TIFF, and PCX files into Windows icons.",Windows,Free to try,Image Icon Converter
57,Split the time right into MS Excel.,Windows,Free to try,XNote Stopwatch
58,Track live ball-by-ball score of a cricket match.,Windows,Free,LiveCricket
59,Change your cursor trails to match your mood.,Windows,Free,CursorSkins
60,Install Mac OSX Launchpad for Windows and get instant access to all your apps.,Windows,Free,XLaunchpad
61,"Manage, create, and apply your own Windows sound schemes.",Windows,Free to try,SoundPackager
62,Turn your computer into a talking clock.,Windows,Free to try,Speaking Clock Deluxe
63,Manipulate any window on your system in various ways.,Windows,Free to try,Hack-It
64,Forty-five icons from a number of anime series.,Windows,Free,Anime Icon Pack
65,Resize one or many image files with a right-click.,Windows,Free,Image Resizer Powertoy for Windows XP
66,Manage and customize your Windows tray clock.,Windows,Free,Analog Clock
67,View day and night images of the Earth on your desktop.,Windows,Free to try,EarthView
68,Customize your Windows desktop icons.,Windows,Free,ActivIcons
69,"Use the mouse middle button to pop up the Start menu, minimize windows, and more.",Windows,Free to try,Cool Mouse
70,Find out the time in more than 500 cities worldwide.,Windows,Free,Qlock
71,Convert your pictures in all commonly used formats to Windows icons.,Windows,Free to try,Any To Icon Pro
72,Post notes right on your desktop.,Windows,Free,Memento
73,Remove unneeded shortcuts and folders from your Start menu.,Windows,Free,Start Menu Cleaner
74,Set an alarm clock for different daily wake-up times.,Windows,Free,Daily Alarm Clock
75,View the time in any location in the world.,Windows,Free,WorldTime2000
76,Add Windows 7 Start menu to Windows 10.,Windows,Free to try,Start10
77,Add this <i>Matrix</i>-style streaming character image to your desktop.,Windows,Free,ZMatrix
78,Personalize icons with your own scanned images and other pictures.,Windows,Free to try,Anything's an Icon
79,Monitor and display your CPU temperature on the desktop.,Windows,Free,SpeedFan Temperature Monitor
80,View useful information about the current OpenGL 3D accelerator.,Windows,Free,OpenGL Extensions Viewer
81,Capture everything you cut or copy from other programs and share clipboard data via Onedrive.,Windows,Free,M8 Free Clipboard
82,Get step-up files for Microsoft MS-DOS 6.22.,Windows,Free,MS-DOS 6.2 Step-up Files
83,Update your icons without updating your operating system.,Windows,Free to try,XP Icons
84,Create up to nine virtual desktops with different windows in each of them.,Windows,Free to try,Cool Desk
85,Monitor your PCs processor and memory usage.,Windows,Free,CPU & Ram Meter
86,Find information on your hard drive quickly and efficiently.,Windows,Free,Agent Ransack
87,Measure your time via fullscreen timer and stopwatch software.,Windows,Free,XNote Timer
88,Use the iPad interface on your desktop!,Windows,Free,iPadian
89,Hide the Taskbar on Windows PCs.,Windows,Free,Taskbar Eliminator
90,Download animated icons and cursors from the Star Wars episodes.  ,Windows,Free,Massassi: Star Wars Desktop Icons
91,Add a stopwatch/countdown utility to your desktop.,Windows,Free to try,CountDown
92,"Create mouse cursors for Windows, web sites and applications.",Windows,Free to try,Axialis CursorWorkshop
93,"An easy to use timezone, timesync, calendar, wallpaper and alarm program.",Windows,Free to try,WorldClock
94,Various characters and objects from Super Mario World 2: Yoshi's Island.,Windows,Free,Yoshi's Island Icons
95,Keep multiple time counters parallely and independently.,Windows,Free,MultiTrack Stopwatch
96,Run Modern (Metro) apps in a window on your Windows 8 desktop.,Windows,Free to try,ModernMix
97,Incorporate dazzling animation cursors.,Windows,Free,Techline Cursor Pack
98,Change your XP interface to look like the new Windows Vista.,Windows,Free,VistaMagicPack
99,Manage your Windows menus and remove unused items.,Windows,Free,Mmm
100,Get any screenshot in real time.,Windows,Free,COBRA Snipping Tool
101,Enjoy purely clean working environment by minimizing all inactive windows with keyboard shortcut.   ,Windows,Free,Activator
102,Tweak NVIDIA and ATI display adapters.,Windows,Free,RivaTuner
103,"Turn existing images into Windows icons and modify those icons (resizing, color changing).",Windows,Free to try,IconDeveloper
104,Assign any color to any folder.,Windows,$9.97,Folder Colorizer Pro
105,An animated cursor inspired by Warcraft II.,Windows,Free,Warcraft II Animated Cursor
106,Synchronize PC clock using atomic clock of National Institute of Standards and Technology.,Windows,Free to try,Chronograph
107,"Manage, maintain, and create anything and everything to do with icons.",Windows,Free,Iconoid
108,Convert images to icons and create your own icons.,Windows,Free,Icon Sushi
109,Organize applications on your Windows taskbar easily.,Windows,Free,Taskbar Shuffle
110,Customize and manage your Windows icons.,Windows,Free,IconTweaker
111,Time different activities and get sound notification on completion.,Windows,Free to try,Egg Timer Plus
112,Make many funny but useful things for your desktop icons.,Windows,Free to try,Desktop Icon Toy
113,command-line utility to expand RAR archives,Mac,Free,unRAR
114,Get 6 office space icons in PNG and ICO formats.,Windows,Free,Free Vista Icons
115,Make Barbie wish come true,Windows,Free,Barbie Princess Dress Up
116,"Place an alarm clocks on your desktop with beautiful graphics, rotation, and scaling.",Windows,Free,Vector Clocks
117,Get this reliable virtual desktop.,Windows,Free,multiDesk 2001
118,Save and restore your desktop icons' layout.,Windows,Free,Icon Restore
119,Place a monthly calendar on your Windows desktop.,Windows,Free,Calendar 2000
120,Place a monthly calendar on your Windows desktop.,Windows,Free,Calendar 2000
121,Install fun or serious logos onto your system properties.,Windows,Free,OEM Logo Manager
122,"Shutdown, reboot, log off, and lock your computer instantly on specified time.",Windows,Free,AutoExit
123,Scroll desktop without limits by just moving the mouse and keep all your windows next to each other.,Windows,Free,GiMeSpace Free Edition
124,Share your items with your Google Talk friends.,Windows,Free,ShareIt
125,Customize any of your Windows icons with this program.,Windows,Free to try,Microangelo On Display
126,Set up alarm clock with customized sound and message.,Windows,Free,Alarm
127,Remove unwanted language resources from OS X and installed apps.,Mac,Free,Monolingual
128,Launch specific programs at specific times.,Windows,Free,System Scheduler
129,Keep important notes on top of all windows.,Windows,Free,Always On Top
130,Access Windows applications by rotating your mouse wheel.,Windows,Free,SliderDock
131,Organize and clean your Windows start menu.,Windows,Free,Start Menu Organizer
132,Display an animated talking character on your desktop.,Windows,Free,The Talking Moose XP
133,Adapt your computer monitor colors to the time current time of the day.,Mac,Free,f.lux
134,Access hidden preferences settings.,Mac,Free,TinkerTool
135,Create a new desktop workspace that enables Web widgets and 360-degree wallpaper.,Windows,Free,360desktop
136,Produce your own icons from any image or a Mac OS icon.,Windows,Free to try,Any to Icon
137,Place a glowing digital clock on your desktop with multiple features.,Windows,Free,Neon Clock
138,Create command aliases for launching app.,Windows,Free,SlickRun
139,Increase the productivity of multiple monitor systems.,Windows,Free to try,UltraMon (32-bit)
140,Enhance your Windows settings and monitor CPU usage.,Windows,Free,Crystal XP
141,Keep your PC in sync with the current time.,Windows,Free to try,Sync-It With Atom
142,Create icons and manage icon collections.,Windows,Free to try,IconLover
143,Run a transparent desktop clock on top of your other windows.  ,Windows,Free,Topmost Clock
144,"Save clips for days, months, and years.",Windows,Free to try,ClipMate Clipboard Extender
145,Speed up the launching of your applications.,Windows,Free,Free Launch Bar
146,Send SMS messages to any mobile phones in India.,Windows,Free,Free SMS India
147,Use 271 icons to customize your folder icon appearance.,Windows,Free,xpFolders
148,Use personalized cursors for your loved one.,Windows,Free,Love AnimatIon Cursor
149,"Fix Task Manager disabled by viruses, spyware, and trojans.",Windows,Free,Task Manager Fix
150,Prevent your laptop from sleeping on lid close.,Mac,Free,InsomniaX
151,Bring to your desktop the look and feel of Windows Vista.,Windows,Free,Windows Vista Ultimate Wallpaper Series Pack
152,Schedule reminders from the taskbar.,Windows,Free to try,Kirby Alarm Pro
153,Remove or enable the explorer shortcut overlay arrow on shortcuts.,Windows,Free,Vista Shortcut Overlay Remover
154,Use these 22 Christmas recycle bin icons in place of your standard Windows Recycle Bin icon.,Windows,Free,Holiday Recycle Bin Icons
155,Create custom menus for your autorun CDs and applications.,Windows,Free,Quick Menu Builder
156,"View the icons contained in EXE, DLL, ICO, or ICL files.",Windows,Free,Icon Viewer
157,Control volume from your sidebar.,Windows,Free,Volume Control
158,Launch application shortcuts on a visually pleasing bar.,Windows,Free,RK Launcher
159,Detect and check distance of WiFi coverage.,Windows,Free,Wifi Meter
160,Organize and add space to your computer's desktop.,Windows,Free to try,goScreen
161,Wake up to your favorite music and movies.,Windows,Free to try,Music Alarm Clock
162,Transform the Windows XP desktop to look like Mac OS X.,Windows,Free,FlyakiteOSX
163,Know the exact size and position of any element with this screen ruler.,Windows,Free,Pixel Ruler
164,Use visual countdown timer for presentations or personal timing.,Windows,Free to try,BlingClock Timer
165,Customize your Leopard system icons.,Mac,Free to try,CandyBar
166,Capture text from your screen using optical character recognition (OCR).,Windows,Free to try,Kleptomania
167,"Manage, extract, convert, modify, search, create, enlarge, or reduce icons.",Windows,Free to try,IconCool Manager
168,A collection of icons with the Windows 98 motif.,Windows,Free,Install & Setup Icons
169,"Extract icons from binary files, import from or export to graphic files, and edit icons.",Windows,Free to try,Jordan Smith's Easy Icon Maker
170,"Log off, lock, restart, or shut down your computer automatically.",Windows,Free,Brutus
171,Copy and paste and add effects to your icons via Control-click actions.,Mac,Free to try,Icon Tools
172,Know the time all over the world.,Windows,Free to try,Time Zones for PCs
173,Access applications and personal data by typing abbreviations.,Mac,Free,Quicksilver
174,Run your favorite old games and software on your contemporary PC.,Windows,Free,DOSShell
175,See each folder's size in Windows Explorer.,Windows,Free,Folder Size
176,Create your own screensavers and customize your desktop background image.,Windows,Free,PowerToys Fun Pack
177,Replace standard folder icons with icons on your computer.,Windows,Free to try,Change Folder Icons
178,Keep clipped text archived on the Clipboard.,Windows,Free,Clipboard Magic
179,Bring your desktop to life.,Mac,Free,Decor
180,"Use these cute, frilly & feminine icons for your desktop.",Windows,Free,Lil' Pretties Icon Set
181,resolves problem with DirectShow TV tuner program,Windows,Free,Update for Windows XP Service Pack 2
182,Use this widget to search for lyrics for your iTunes songs.,Mac,Free,iTunes Lyrics Widget
183,Launch a DOS window to a specific folder destination easily.,Windows,Free,DOSBox
184,Optimize your Windows navigation by creating multiple nonvirtual or virtual desktops.,Windows,Free,Virtual Desktop Toolbox
185,Press a hotkey and type a keyword to perform almost any task on your computer.,Windows,Free to try,Keybreeze Desktop
186,Type texts with your mouse using a virtual keyboard.,Windows,Free,Free Virtual Keyboard
187,Free up space on your hard drive with this file-cleaning tool.,Windows,Free,GenDiskCleaner
188,Improve your Windows loading time.,Windows,Free,StartUp
189,View and analyze Processor usage and RAM performances right from your desktop.,Windows,Free,All CPU Meter
190,Alert yourself about important events with different alarms.,Windows,Free to try,Peter's Ultimate Alarm Clock
191,Customize your Windows folders by changing its background or putting a picture.,Windows,Free,Folder Background Changer
192,Create and modify your Windows icons or convert your images to icons and vice verse.,Windows,Free to try,IcoFX
193,Rip icons from many types of files.,Windows,Free,GetIcon
194,See exactly how long laptop battery will work.,Windows,Free to try,Battery Bar
195,Connect to remote computers using a strongly encrypted and authenticated TCP/IP connection.,Mac,Free,MacSSH
196,Monitor and view the WiFi signal on your desktop.,Windows,Free,Wifi Watcher
197,A collection of icons with the Windows 98 motif.,Windows,Free,Internet Icons
198,Add transparency effect to windows on your desktop.,Windows,Free to try,Actual Transparent Window
199,Create and maintain icons and cursor graphics.,Windows,Free to try,Microangelo Creation
200,"Turn off, log off, lock, save screen, and make your computer sleep automatically.",Windows,Free to try,Auto Shutdown Genius
201,Replace any folder icon with a custom one.,Windows,Free,Folder Icon Changer
202,"Create world clocks on your desktop or taskbar, manage time zones with ease.",Windows,Free to try,World Time Manager
203,Change your cursor arrow and enable it to turn and point in the direction it's moved.,Windows,Free,DotMouse
204,Get current conditions and a five-day forecast for just about any location right on your desktop.,Windows,Free,AccuWeather.com Stratus widget
205,compression & expansion utility for cpt files,Mac,Purchase,Compact Pro
206,Create and edit static or animated cursors for Windows.,Windows,Free,JustCursors
207,Perform various calculations from your Windows taskbar.,Windows,Free,Taskbar Calculator
208,"Create, edit, and save Windows icons.",Windows,Free to try,IconMaker
209,AutoCAD (dwg & dxf) & eDrawings viewer.,Mac,Free,eDrawings Viewer 2015
210,Grow and care for a virtual plant.,Windows,Free to try,DesktopPlant
211,"Open files, folders, and applications via hot-keys or shortcuts.",Windows,Free,HotKeyz
212,Create up to 9 additional virtual desktops.,Windows,Free,MultiDesk
213,Monitor and view your WiFi signal strength.,Windows,Free,WiFi Signal
214,Organize your desktop and manage the applications.,Windows,Free,XWindows Dock
215,"Enable your Palm to support Chinese, Japanese, and Korean.",Windows,Free to try,CJKOS
216,"Create, capture, and extract icons, cursors, and bitmaps.",Windows,Free to try,Paint Express
217,View weather information on your desktop.,Windows,Free,Weather Gadget
218,Improve your clipboard management and features.,Windows,Free,ClipX
219,Save and restore your desktop icon positions.,Windows,Free,DesktopOK
220,Add a sleek digital clock that tells time and date on your desktop.,Windows,Free,Alienware Digital Clock
221,Watch Internet TV on your Windows Media Center.,Windows,Free,MiraWorldTV
222,Place a customizable digital alarm clock on your desktop.,Windows,Free,X'nBeep - Digital Alarm Clock
223,Minimize applications as System Tray icons to free up desktop space.,Windows,Free to try,4t Tray Minimizer
224,Wake up to music.,Windows,Free,Music AlarmClock
225,Customize your desktop with animated cursors and semitransparent wallpaper.,Windows,Free,XZ-B-ONE Cursors
226,Increase productivity of multiple monitor systems.,Windows,Free to try,UltraMon [64-bit]
227,View and manage your running applications.,Windows,Free to try,Tiles
228,Display the time in full screen.,Windows,Free,Big Free Clock
229,Change the icons of your desktop folders.,Windows,Free to try,Folder Style
230,"Extract icons from various file types, view, edit, and save them.",Windows,Free to try,GConvert 
231,Work with multiple clipboards at the same time.,Windows,Free,Copy/Paste Clipboard Extender
232,"Manage your signature files, and categorize and use quotes in your e-mail correspondence.",Windows,Free,Quotes
233,Run desktop widgets on your system.,Windows,Free,Kludget Engine
234,Manage and control ICL icon libraries.,Windows,Free,IconShop
235,"Make and edit animated cursors and icons, and manage images and convert them to icons.",Windows,Free to try,Ani.cur.ico Editor
236,Get and enjoy Acer Windows 7 Theme.,Windows,Free,Acer Windows 7 Theme
237,Don't forget your umbrella when it's raining.,Windows,Free to try,Weather Clock
238,Set the alarm on your screen.,Windows,Free,Desktop Alarm Clock
239,Manage and customize your icons and cursors.,Windows,Free,ZNsoft Icon Maker
240,Set the alarm on your screen.,Windows,Free,Desktop Alarm Clock
241,Share your mouse and keyboard with multiple networked computers.,Windows,Free,ShareMouse
242,Eliminate all files on your recycle bin.,Windows,Free,Recycle Bin
243,Display the current time like analog clock.,Windows,Free,Desktop Clock-7
244,"Drag and drop to resize, arrange, or maximize your desktop windows.",Windows,Free,AeroSnap
245,Manage and control iTunes playlist easily.,Windows,Free,iTunes Media Player
246,"Record anything by double-click on desktop, manage appointments, to-do lists, schedules.",Windows,Free,Desktop Calendar
247,Save and restore your desktop icon positions.,Windows,Free,DesktopOK (64-bit)
248,Download videos from Megavideo.com.,Windows,Free,MegaVideo Downloader
249,Enhance your Send To system menu.,Windows,Free,Send To Toys
250,Zoom in to any portion of your screen.,Windows,Free,Magnifying Glass
251,Combine your shortcuts in groups saving working space on your desktop.,Windows,Free to try,True Launch Bar
252,Keep track of time around the world.,Windows,Free to try,Chronos Clock
253,"Find, create, edit, import, export cursors and manage cursor libraries.",Windows,Free to try,ArtCursors
254,Search WiFi hotspots and monitor your wireless connection.,Windows,Free,JiWire Wi-Fi Finder
255,Expand and arrange your windows and icons across up to six desktops.,Windows,Free to try,DeskSpace
256,Lock your desktop with a single click using a Matrix like screen effect.,Windows,Free,Matrix Screen Locker
257,"Set reminders for your payments, medications, and important dates.",Windows,Free to try,PC Alarm Clock
258,Extend the functionality of the Windows Clipboard.,Windows,Free to try,ClipCache Pro
259,Get this alarm clock to keep you on schedule.,Windows,Free,Notec WakeUp
260,Receive alerts of new locations posted on the Web.,Windows,Free,Google Earth Best Locations
261,Add XP style icons to your desktop.,Windows,Free to try,XP Style Icons
262,"Insert various emoticons, icons and smileys in your e-mails and messengers.",Windows,Free,Emoticons MSN
263,Create and edit icon files.,Windows,Free to try,IconEdit2
264,Customize and tweak your Windows Vista.,Windows,Free,Vista Visual Master
265,"Pick a date on the calendar, enter an event's time and name, and count down to it.",Windows,Free to try,Countdown Clock
266,Show an icon when the Windows Recycle Bin is full and customize the appearance of the Recycle Bin.,Windows,Free to try,Bin Extender
267,Display the time/date of any time zone in the world.,Windows,Free,World Clock
268,Add a gadget which shows your CPU's statistics on desktop.,Windows,Free,Windows 8 CPU Meter
269,Keep your system time accurate.,Windows,Free,NetTime
270,Run your apps and browsers side by side with ease.,Windows,Free,Slickscreen
271,Get tips and tricks for all versions of Windows.,Windows,Free,WinTricks
272,Stick virtual notes on your screen.,Windows,Free,Sticky Note
273,Turn your computer into a virtual sketch pad.,Windows,Free,Sketch It
274,Design desktop graphics from a single integrated environment.,Windows,Free,PixelToolbox
275,Get reminders about taking breaks when working with computers.,Windows,Free,Eyes Relax
276,Set a different desktop picture for each Space.,Mac,Free,SpaceSuit
277,Customize your windows with a variety of patterns.,Mac,Free to try,Window Monkey
278,A small utility that restore the original Gadget program files on Windows 8.,Windows,Free,8GadgetPack
279,Search Google easily.,Windows,Free,Google Search Bar
280,Search the meaning and synonyms of a word on an online Merriam-Webster's dictionary or thesaurus.,Windows,Free,Webster Dictionary/Thesaurus Search
281,control your MacBook's fans,Mac,Free,Fan Control
282,Change the Windows 7 boot animation and text.,Windows,Free,Windows 7 Boot Updater
283,"Organize your open windows by tiling, resizing, and positioning them.",Windows,Free,WinSplit Revolution
284,"Find, download, and play games from GameHouse.",Webware,Free,GameHouse
285,Customize the home screen of your Android device.,Android,Free,Open Home
286,Try out this replacement desktop interface for Windows.,Windows,Free,LiteStep
287,Easily create start-up menus that run when you insert your CD.,Windows,Free,AutoMenu
288,Manage up to 16 virtual desktops in an amazing 3D space.,Windows,Free to try,CubeDesktop NXT
289,"Display an analog, digital, or text-based clock.",Windows,Free,Desk Clock
290,Jazz up your desktop with analog/digital clock with beautiful skin collection.,Windows,Free to try,Premium Clock
291,Monitor your shared iTunes library and see who's listening to what.,Mac,Free,iTunes Monitor
292,"Time any event with this multi-function, Flash-based timer.",Windows,Free,MB-Timer
293,Get over 25 different icons for your Web sites and software applications.,Windows,Free,Free Icons Pack
294,Tweak your Windows 7 taskbar on your desktop.,Windows,Free,7+ Taskbar Tweaker
295,Get a collection of Windows 8 Metro style icons.,Windows,Free,1600 Windows Icons (Metro Style)
296,"Customize your desktop wallpaper, browser skin, and screensaver.",Windows,Free to try,Changer XP
297,Convert various image files into Windows icons and use them on your desktop or in applications.,Windows,Free to try,Icon Constructor
298,Get the exact atomic time on your PC.,Windows,Free,Atomic Timer
299,See live previews of all your open windows.,Windows,Free to try,Entbloess
300,Access your entire system through one menu.,Windows,Free to try,PaneKiller
301,"Create, edit, and convert Windows animated cursors.",Windows,Free,AniTuner
302,Synchronize your PC's clock with several time servers.,Windows,Free to try,YATS32 Yet Another Time Synchronizer
303,Desktop weather forecast software,Windows,Free,Weather Depot
304,Force windows to go full screen when you click the green orb button.,Mac,Free,Right Zoom
305,View the current song cover in a customizable skin.,Windows,Free,XDeskCover
306,Get an overview of all your open windows including minimized ones.,Windows,Free to try,TopDesk
307,"Change your PNG, ICO, and GIF icons to business theme.",Windows,Free to try,Business Icons Collection
308,Simulate keystrokes in any Windows program with this keyboard macro.,Windows,Free,WinKeySim
309,Control up to four computers from a single mouse and keyboard,Windows,Free,Mouse without Borders
310,Configure this enhanced taskbar to offer everything from newsfeeds to virtual desktop management.,Windows,Free,SmartBarXP
311,Highly-compact icon creator,Windows,Free,IconArt
312,allows for manual fax starts using FaxSTF 5.x (not the Pro version),Mac,Free,FaxReceiver
313,"Keep your favorite apps, control panel, websites, files and folder one-click away.",Windows,Free,Pokki
314,Switch between open windows with a pre-defined hotkey.,Windows,Free to try,Reflex Vision
315,"Control display settings, wallpaper, screensavers, and color schemes from a convenient system tray icon.",Windows,Free,1st QuickRes Light
316,Force a window to always be on top of other windows.,Windows,Free,Planetscott
317,Imitate keyboard keystroke and mouse action. ,Windows,Free to try,Auto-Keyboard
318,Turn your computer into alarm clock.,Windows,Free,gAlarm
319,Magnify an area of your desktop with this program.,Windows,Free,Magnify
320,Create and send SMS messages around UK.,Windows,Free,Free SMS
321,Send saved clipboard text to Windows applications using hot keys.,Windows,Free to try,Clipboard Genie
322,"Customize your home screen, menu and even lock screen interface with 3D effects.",Android,Free,GO Launcher - 3D parallax Themes & HD Wallpapers
323,Search for icons in files and save them in ICO format.,Windows,Free,IconFinder
324,Manage the desktop of your PC removeing invisible windows from the taskbar.,Windows,Free,Deskwin for Windows
325,Record all data copied to the Windows clipboard for pasting at anytime.,Windows,Free to try,Clipboard Buddy
326,Count down the seconds to any event right on your dashboard.,Mac,Free,Countdown X
327,"Manage shortcut files and launch applications,",Windows,Free to try,Launcher
328,Magnify selected windows or your entire desktop.,Windows,Free,DesktopZoom
329,Monitor your personal computer's CPU usage.,Windows,Free,PowwwerSoft CPU Monitor
330,Place up to 24 program icons in the taskbar tray that can be launched by a mouse click.,Windows,Free,Tray Tools 2000
331,Change colors of your favorite and recently used folders to boost your work.,Windows,Free,Rainbow Folders
332,Set fish swimming on your desktop.,Windows,Free,Animated Fish Desktop Wallpaper
333,Count up or down to any event.,Windows,Free to try,Time Manager
334,Hide and manage any window you specify with a mouse or keyboard hot key.,Windows,Free,Hide Window Hotkey
335,"Set an icon, background image, and description for your folders.",Windows,Free to try,Lovely Folders
336,Turn your desktop background into realistic interactive water surface.,Windows,Free,Liquid Live Desktop Wallpaper & Screensaver
337,Create desktop notes and send them to others.,Windows,Free,NetNote Client
338,Make your mouse cursor point to the direction its moving.,Windows,Free,Funny Cursor
339,Add a stationary dock to your Windows 8 or 10 Start Screen.,Windows,Free to try,Launch
340,Turn your computer into a machine that understands you and takes your voice/textual commands.,Windows,Free,Syn Virtual Assistant
341,"Search for and launch programs, sites, or files quickly and easily with lots of additional features.",Windows,Free,Executor
342,Change your IM look with icons from this summer blockbuster.,Windows,Free,The Fast and the Furious: Tokyo Drift IM icons
343,Keep your PC clock accurate with a time synchronizer.,Windows,Free,WebTime 2000
344,"Customize, modify, or make your own buddy icons for AIM messenger.",Windows,Free to try,My Buddy Icons
345,Synchronize your system clock to any NTP (Network Time Protocol) server accessible from your computer.,Windows,Free,SymmTime
346,Open or close your DVD or CD drive directly from the Vista Sidebar or desktop.,Windows,Free,Open/Close DVD(CD)-ROM Tray
347,Add functionality to your computer by creating virtual desktops.,Windows,Free to try,AltDesk
348,Ring the school bell with scheduling and automation features.,Windows,Free,Jabat Automatic School Bell
349,Enjoy 3D animations and more with this multi-zone desktop clock.   ,Windows,Free,Clock Domain MZ
350,Personalize your removable drives using various icons.,Windows,Free,Removable Drive Icons
351,Sync your computer time with atomic clock servers.,Windows,Free to try,Desktop Atomic Clock
352,Customize Windows shell icons.,Windows,Free to try,Change Any Icon
353,Preserve the layout and position of icons and programs on the Desktop.,Windows,Free,Desktop Restore (64-bit)
354,Add a Start menu to your Windows 8 PC.,Windows,Free to try,8StartButton
355,Share single mouse and keyboard between multiple computers with different operating systems.,Windows,Free,Synergy (64-bit)
356,Rotate your desktop wallpapers automatically.,Windows,Free,Desktop Magic
357,Create a toolbar on your desktop from which you can directly launch commands.,Windows,Free,Command Prompt Bar
