,Description,Platform,Price,Product
95,"Benchmark, test, analyze and diagnose your computer or a remote network computer.",Windows,Free to try,SiSoftware Sandra
96,View over 150 file types on your Windows PC.,Windows,Free,File Viewer Lite
97,Find and remove true duplicate files from your PC or network.,Windows,Free to try,DupeRazor - Duplicate Files Removal Kit
98,"Juggle PC operations and fully exploit the system potential with all-in-one maintenance toolkit.
",Windows,Free to try,Advanced SystemCare Pro
99,Clean up registry to speed up your PC.,Windows,Free,Auslogics Registry Cleaner
100,Expand RAR archives on your Mac.,Mac,Free,RAR Expander
101,Choose from 10 Windows auto optimization profiles.,Windows,Free to try,Cacheman
102,Automate keyboard and mouse actions.,Windows,Free,Ghost Mouse
103,"Recover deleted files, perform unformatted recovery, and corrupt drive recovery.",Windows,Free to try,Recover My Files
104,Keep your Windows 7 PC on the latest support level.,Windows,Free,Microsoft Windows 7 Service Pack 1
105,Optimize memory and manage computer's cache.,Windows,Free to try,MemTurbo
106,Root your Android phone with a simple application.,Windows,Free,SuperOneClick
107,Clean up your system and optimize PC performance.,Windows,Free to try,Advanced System Optimizer
108,Prevent your PC from locking or going to sleep.,Windows,Free,Caffeine
109,View HDD information and monitor disk temperature.,Windows,Free,CrystalDiskInfo
110,Recover lost or damaged files.,Windows,Free,PC Inspector File Recovery
111,"Manage mobile phone from PC via Wi-Fi, Bluetooth, or cable.",Windows,Free to try,MobilEdit
112,"Add Chinese, Japanese, and Korean language support to many Windows applications.",Windows,Free to try,AsianSuite X2
113,"Load Web pages, run diverse Web applications, search, navigate, and customize in a snap.",Windows,Free,Google Chrome Portable
114,Fix PC issues and improve system performance.,Windows,Free to try,Auslogics BoostSpeed
115,Split and join multiple files.,Windows,Free,HJ-Split
116,Free yourself from repetitive mouse click work and automate the clicks at specified intervals.,Windows,Free,Free Mouse Auto Clicker
117,Upgrade your Mac to Mac OS X Snow Leopard.,Mac,Free,Apple Mac OS X Snow Leopard
118,Install the latest operating system from Microsoft.,Windows,$119.00,Windows 10
119,Copy and backup hard disks and partitions.,Windows,$59.90,EaseUS Disk Copy
120,"Compress, encrypt, and extract ZIP, ZIPX, 7ZIP, CAB, TAR, ISO, RAR, PA, and other formats.",Windows,Free to try,PowerArchiver 2021
121,Recover any deleted or lost partition on your PC.,Windows,Free,EaseUS Partition Recovery
122,"Manage the link between your BlackBerry smartphone and your email, calendar, and organizer.",Windows,Free,BlackBerry Desktop Manager
123,Optimize system registry and speed up your PC.,Windows,Free,Auslogics Registry Defrag
124,Speed up opening of your RAR archives.,Windows,Free,RAR File Open Knife - Free Opener
125,"View, sort, find, edit, back up, and add anything to your Palm OS handheld.",Windows,Free,Palm Desktop
126,Recover lost files or data from your storage media.,Windows,Free to try,IsoBuster
127,Restore files which are deleted from the Recycle Bin by mistake.,Windows,Free,Restoration
128,desktop operating system,Windows,$119.99,Microsoft Windows XP Home Edition
129,Destroy completely hard drive data or data stored on any other type of device.,Windows,Free to try,Active@ KillDisk
130,Use your Android device from a web browser or desktop computer.,Windows,Free,Mobizen PC
131,Back up and restore everything and actively defend against ransomware.,Windows,Free to try,Acronis True Image
132,Remove unwanted software without leftovers.,Windows,Free to try,Ashampoo UnInstaller 10
133,"Customize the logon screen in Windows 7, Windows 8, and Windows 10.",Windows,Free,Tweaks.com Logon Changer
134,Handle RAR and ZIP files using a German interface.,Windows,Free to try,WinRAR German
135,Extract or decompress all sorts of RAR files.,Windows,Free,RarZilla Free Unrar
136,Compress and decompress archive files.,Windows,Free,ZipGenius Standard Edition
137,Find and remove duplicate files from your PC.,Windows,Free,Auslogics Duplicate File Finder
138,Recover lost data from FAT or NTFS file systems.,Windows,Free to try,GetDataBack
139,Create virtual drives that contain the information on your CDs.,Windows,Free to try,Virtual CD
140,"Recover deleted files, documents, images, and e-mails from any storage media.",Windows,Free,Wise Data Recovery
141,Scan your system for report on existing software and hardware.,Windows,Free,Fresh Diagnose
142,Synchronize the data between your Nokia device and computer.,Windows,Free,Nokia Suite
143,"Optimize, speed up, and clean your Windows computer.",Windows,Free to try,Ace Utilities
144,Synchronize the data between your Nokia device and computer.,Windows,Free,Nokia Suite
145,Recover lost data from FAT or NTFS file systems.,Windows,Free to try,GetDataBack
146,The latest version of the Android mobile operating system following Android 4.4 KitKat,Android,Free,Android 5.0 Lollipop
147,Scan your system for report on existing software and hardware.,Windows,Free,Fresh Diagnose
148,Run and develop applications targeting .NET Framework.,Windows,Free,Microsoft .NET Framework
149,"Experience instant Web browsing, applications, and secured data management on your computer.",Linux,Free,Google Chrome OS
150,"Optimize, speed up, and clean your Windows computer.",Windows,Free to try,Ace Utilities
151,Recover files and folders deleted accidentally or lost due to disk corruption.,Windows,Free to try,File Scavenger Data Recovery Utility
152,"Clean, fix, and restore your system registry.",Windows,Free,Eusing Free Registry Cleaner
153,Put your PC through one of the most comprehensive hardware and sofware benchmarks available.,Windows,Free,3DMark Basic Edition
154,Schedule your computer to shut down or log off at a specified time.,Windows,Free,Switch Off
155,"Share files with your friends or across your devices, and enjoy various media content online.",Android,Free,SHAREit - Transfer & Share
156,"Save, adjust, send, and print screen captures with flexible streamlined image management tool.",Windows,Free,Gadwin PrintScreen
157,"Restore accidentally deleted FAT12, FAT16, FAT32, and NTFS files.",Windows,Free,Data Recovery
158,Select and defrag files on your hard disk.,Windows,Free,Defraggler
159,Find and remove duplicate files from your PC.,Windows,Free to try,Duplicate File Finder
160,Archive and unpack files on your 64-bit OS.,Windows,Free,7-Zip (64-bit)
161,Activate Urdu language support and install necessary Urdu Fonts.,Windows,Free,Pak Urdu Installer
162,Change the names of multiple files at once.,Windows,Free,File Renamer Basic
163,Run multiple operating systems concurrently on a single PC.,Windows,Free to try,VMware Workstation Pro
164,"Protect your Android against the latest viruses, malwares, system vulnerabilities and privacy leaks.",Android,Free,"360 Security - Free Antivirus, Booster, Cleaner"
165,Get the power of WinZip without going through the graphical user interface.,Windows,Free,WinZip Command Line Support Add-On (32-bit)
166,Get diagnostic information about your system and network.,Windows,Free,AIDA32
167,Recover permanently deleted files from hard disks and removable media.,Windows,Free to try,Recover Files
168,Scan your Registry for possible problems and fix them.,Windows,Free to try,Free Registry Fix
169,Open Mac disks and dmg files from a Windows PC.,Windows,Free to try,TransMac
170,Run benchmarking tests of your computer to see if your PC is performing at its best.,Windows,Free to try,PerformanceTest
171,Package your files and get them where you want them to go easily and securely.,Mac,Free to try,StuffIt
172,"Recover data lost to viruses, malicious attacks, hardware failures, and operating system crashes.",Windows,Free to try,R Studio Data Recovery Software
173,multimedia os,Windows,Purchase,Windows XP Media Center Edition
174,Scan and clean up your registry to improve your system's performance.,Windows,Free,Registry Repair
175,Update your Nokia device software.,Windows,Free,Nokia Software Updater
176,"Establish instantly comprehensive, permanent, real-time remote access, control, and support through secure global network.",Windows,Free,TeamViewer Portable
177,Rescue your Android phone from a mess.,Windows,Free,Mobogenie
178,Extract and create ZIP file archives.,Windows,Free,CAM UnZip
179,Clean up Windows Installer directory and free up disk space.,Windows,Free,PatchCleaner
180,Maximize performance of Windows XP.,Windows,Free,TuneXP
181,Make your Mac run faster.,Mac,Free to try,MacBooster
182,OS X Mavericks is the latest release of the world's most advanced desktop operating system.,Mac,Free,Apple Mac OS X Mavericks
183,Synchronize and backup your files with extensive options.,Windows,Free,SyncBackFree  
184,Upgrade to the most powerful edition of the latest version of Windows.,Windows,$119.99,Windows 7 (Ultimate)
185,"Create, delete, and resize partitions.",Windows,Free,Ranish Partition Manager
186,Manage start-up applications and improve your system performance.,Windows,Free,Startup Inspector for Windows
187,"Move, resize, copy, create, and recover hard disk drive partitions.",Windows,$39.00,MiniTool Partition Wizard Professional Edition
188,"Clean junk from your PC, optimize the system performance.",Windows,Free,Clean Master for PC
189,Clean your Windows Registry from orphaned entries.,Windows,Free,ToniArts EasyCleaner
190,Optimize and speedup your system performance.,Windows,Free to try,WinUtilities Professional Edition
191,"Recover files that have been accidentally deleted, erased, corrupted, or lost.",Windows,Free to try,R-Undelete
192,Optimize your PC for better performance.,Windows,Free,Asmw PC-Optimizer pro
193,"Create screenshots of a selected region, window, or fullscreen, with annotations or highlighting.",Windows,Free,GreenShot
194,Shrink PDF files by using the Flate or RunLength compression algorithm.,Windows,Free,Free PDF Compressor
195,"Copy, move, or delete data from your PC.",Windows,Free,FastCopy
196,"Unblock any Web site or app to access videos, movies, and social networks.",Android,Free,Hotspot Shield Free VPN Proxy & Wi-Fi Security
197,Keep your drivers up-to-date automatically and keep your PC running like new.,Windows,Free to try,Driver Genius
198,Show product ID of software or OS installed on your computer.,Windows,Free,ProduKey
199,Permanently delete files beyond forensic recovery and wipe free space.,Windows,Free to try,BCWipe
200,"Make automatic backups, compression, encryption, synchronization of files in background.",Windows,Free to try,Second Copy
201,"Diagnose, benchmark, and monitor hardware of your PC.",Windows,Free to try,AIDA64 Extreme
202,"Manage, view, and search files in a tabbed, dual-pane mode.",Windows,Free,Xplorer2 Lite
203,Update Windows 95 to make it Y2K compliant.,Windows,Free,Windows 95 Y2K Update
204,Scan your disk drives for any deleted files and restore them.,Windows,Free to try,File Recover
205,Manage your smartphone from Windows PC.,Windows,Free,MoboRobo
206,Get extensive information about your PC's hardware.,Windows,Free to try,System Analyser
207,"Find out what applications, processes, and files are running on your PC.",Windows,Free,What's Running
208,Back up and synchronize data on a local network or over the Internet.,Windows,Free,@Max SyncUp
209,Scan your computer for missing and outdated drivers.,Windows,Free,Drivers For Free
210,Optimize the performance of your computer and protect it.,Windows,Free to try,Super Utilities Pro
211,Create ISO image from folders or data CD/DVD.,Windows,Free to try,Free ISO Creator
212,"Find and remove duplicate images, photos, MP3s, any other files.",Windows,Free to try,Duplicate Checker
213,Find out what files consume the most disk space to reclaim some space.,Mac,Free,Disk Inventory X
214,Find any file on your computer instantly.,Windows,Free,Ava Find
215,Clean your registry and hard drive to make PC run fast.,Windows,Free,Cloud System Booster
216,Update your Mac OS X Lion for Intel-based Macs.,Mac,Free,Apple Mac OS X Lion 10.7.5 Supplemental Update
217,Back up and synchronize your files and folders.,Windows,Free,Second Backup - Free File Backup
218,Find out what files consume the most disk space to reclaim some space.,Mac,Free,Disk Inventory X
219,Find any file on your computer instantly.,Windows,Free,Ava Find
220,Gain access to hidden Windows XP settings and tune your OS to run faster.,Windows,Free to try,Tweak-XP Pro
221,Recover your system and lost data to ensure security in future.,Windows,Free,Rescue Kit Free Edition
222,Scan your computer for missing and outdated drivers.,Windows,Free,Drivers For Free
223,The latest release of the Android operating system.,Android,Free,Android 7.0 Nougat
224,"Edit and recover partitions, manage multiboot environments, and optimize disk usage.",Windows,Free to try,Acronis Disk Director Home
225,"Recover lost data from deleted files, formatted disk, lost raid.",Mac,Free to try,VirtualLab Data Recovery
226,Upgrade to the latest Windows OS customized for home entertainment.,Windows,$119.99,Windows 7 (Home Premium)
227,Remove programs without using Windows' Add/Remove control panel.,Windows,Free,Easy Uninstaller
228,"Back up files into compressed archive, or create a disk image for recovery.",Windows,Free to try,Macrium Reflect
229,Monitor and free up your memory when it falls below a certain minimum.,Windows,Free,Free Ram Optimizer XP
230,Bring back deleted pictures from any digital camera media.,Windows,Free,PC Inspector Smart Recovery
231,"Zip, unzip, share, protect files and streamline data storage with trusted enhanced compression.",Mac,Free to try,WinZip Mac
232,Configure which programs run when your computer starts.,Windows,Free,Startup Control Panel
233,Recover your Microsoft software CD Keys.,Windows,Free,Keyfinder Thing
234,"Stay within the reach with free voice/HD video calling, videoconferencing, screen sharing, and smart messaging.",Windows,Free,sPortable
235,Optimize your Windows 2000/XP/Vista performance.,Windows,Free to try,TweakNow PowerPack Professional
236,Extract ZIP archives and other compressed file formats.,Windows,Free,Quick Zip
237,"Create, extract, and manipulate ZIP, RAR, TAR, GZIP, 7-ZIP and other file archives.",Windows,Free,jZip
238,Make an exact copy of your original CD for backup purposes.,Windows,Free to try,Easy CD Clone
239,"Automate repetitive tasks by creating macros and hotkeys for your mouse, keyboard, and joystick.
",Windows,Free,AutoHotkey
240,Extract ZIP archives and other compressed file formats.,Windows,Free,Quick Zip
241,"Automate repetitive tasks by creating macros and hotkeys for your mouse, keyboard, and joystick.
",Windows,Free,AutoHotkey
242,Transform folders into connected workspace and keep team collaboration in sync with intelligent content solutions.,Mac,Free,Dropbox
243,"Zip, unzip, share, protect files and streamline data storage with trusted enhanced compression.",Mac,Free to try,WinZip Mac
244,Change the speed of your CD-ROM device.,Windows,Free to try,CD Speed
245,Scan your hard drive to quickly find and remove temporary files from your PC.,Windows,Free to try,Temp File Cleaner
246,Backup and restore to drives and removable media.,Windows,Free,TrueSafe Personal Edition
247,"Duplicate file, photo, mp3 and folder finder. Now with search by image in v2014",Windows,Free to try,Reasonable NoClone 2014
248,"Automate backup tasks, password protect and compress to save storage space. ",Windows,Free,FBackup
249,Resolve slow PC problems and fix Windows registry.,Windows,Free to try,PC Doc Pro
250,Index your movies with data from the Web.,Windows,Free,My Movies
251,Search and delete duplicate files on your Windows machine.,Windows,Free to try,NODouble
252,Connect and access your Sony smartphone contents on PC.,Windows,Free,Xperia Companion
253,"Copy, move, and rename files, and preview JPEG pictures.",Windows,Free to try,Picture Manager
254,Run Android apps directly from your PC.,Windows,Free,Andy OS
255,"Manage Zip files with ease, preview files instantly or auto-update archives.",Windows,Free,ZipWiz 2005
256,Capture and save screenshots of your desktop.,Windows,Free,Screenshot Captor
257,Uninstall apps from your Mac and clean all their left-over files safely.,Mac,Free,AppCleaner
258,Manage frequently used text snippets in customizable categories.,Windows,Free,PhraseExpress
259,Install MS-DOS 7.1 on your USB memory key.,Windows,Free,DOS-on-USB
260,Show information about blue screen crashes occurred in your system.,Windows,Free,BlueScreenView
261,Run more than one operating system at the same time on one computer.,Windows,Free,Windows Virtual PC (64-bit)
262,"Open, extract, and create 200+ archive types: ACE, CAB, DEB, ISO, PEA, RAR, TAR, WIM, ZIPX, ZPAQ, XZ.",Windows,Free,PeaZip (64-bit)
263,Remove unwanted records from your PC registry.,Windows,Free to try,RegVac
264,Show information about blue screen crashes occurred in your system.,Windows,Free,BlueScreenView
265,Remove unwanted software from your PC.,Windows,Free,PC Decrapifier
266,"Recover lost data on your Mac, prevent accidental data loss, backup failing disks.",Mac,Free,Disk Drill
267,Remove unwanted records from your PC registry.,Windows,Free to try,RegVac
268,Analyze your system and view your hardware information.,Windows,Free,PC Wizard 2013
269,"Recover unlimited data from PC, laptop, hard drive, memory card.",Windows,Free,iCare Data Recovery Free
270,Enhance the performance of your MSI graphics card.,Windows,Free,MSI Afterburner
271,"Open Zip, RAR and extract all archives, compress, schedule, and internally preview 200-plus formats.",Windows,Free to try,TurboZIP
272,Fine-tune every aspect of your PC's operating system and Web browser.,Windows,Free to try,TweakNow PowerPack
273,"Back up and synchronize your important data to PC, network drives, USB drives, FTP, or WebDAV.",Windows,Free to try,SmartSync Pro
274,Scan and clean the Windows Registry to avoid system failure.,Windows,Free to try,Amust Registry Cleaner
275,Save your eyes by making your display's brightness adapt to the time of day.,Windows,Free,f.lux
276,Monitor your hard disks and get alerts on impending failure.,Windows,Free,HDD Health
277,Optimize and defrag hard drives.,Windows,Free,UltimateDefrag Freeware Edition
278,"Schedule PC shutdown, logoff, restart, sleep, and poweroff tasks.",Windows,Free,Wise Auto Shutdown
279,Free up physical memory and improve PC performance.,Windows,Free,Wise Memory Optimizer
280,Observe and maintain precisely validated video card and GPU information.  ,Windows,Free,GPU-Z
281,Enhance the efficiency of Windows defragmentation and disk checking.,Windows,Free to try,Power Defrag
282,"Mount, read & write to NTFS-formatted drives under OS X.",Mac,Free,NTFS-3G
283,View postscript (.ps) files in Adobe Reader as if they were PDF files.,Windows,Free,Postscript Viewer
284,Configure and manage partitions of your hard drive.,Windows,Free to try,EaseUS Partition Master Pro
285,Configure and optimize your system.,Windows,Free,Fresh UI
286,Run other operating systems on your computer.,Windows,Free,VirtualBox
287,Retrieve and repair deleted or damaged files from USB flash drives.,Windows,Free to try,Data Doctor Recovery Pen Drive
288,Retrieve your Windows XP/Vista/7/8/10 product key and system information.,Windows,Free,WinGuggle
289,Configure and optimize your system.,Windows,Free,Fresh UI
290,Retrieve and repair deleted or damaged files from USB flash drives.,Windows,Free to try,Data Doctor Recovery Pen Drive
291,Clean up your PC and optimize system performance.,Windows,Free to try,CleanMyPC
292,Synchronize and manage media files and documents with Windows Mobile powered devices.,Windows,Free,Microsoft Windows Mobile Device Center for Windows Vista (64-bit)
293,"Create a fully bootable operating environment allowing you to start up your computer from a CD, DVD, or USB.",Windows,Free to try,Active@ Boot Disk
294,Recover accidentally deleted files and reconstruct formatted or corrupted drives and RAIDs.,Windows,Free to try,Restorer Ultimate
295,Split or join your files for easier transport.,Windows,Free to try,Ordix Mpack Professional
296,"Burn DVDs, CD, Blu-rays and ISO files.",Windows,Free to try,CopyTo
297,"Extract text from pdf, doc, ppt, xls, docx, pptx, xlsx files.",Windows,Free to try,All2Txt
298,"Format and re-certify a SATA, IDE or SCSI hard disk drive.",Windows,Free,HDD Low Level Format Tool
299,Free up the unused memory on your computer.,Windows,Free,RAM Def
300,Diagnoze the problems in your system and get possible solutions.,Windows,Free,Internet Speed Test
301,Perform visual file comparison.,Windows,Free,ExamDiff
302,Scan and fix invalid registry entries.,Windows,Free to try,Registry Medic
303,"Monitor your CPU's temperature, fan speed, and voltage.",Windows,Free to try,HMonitor
304,Synchronize with simplicity and manage content on your Samsung mobile device.,Windows,Free,Kies
305,"Take full control over RAR/ZIP archives, along with unpacking a dozen other archive formats.",Windows,Free to try,WinRAR beta
306,"Tweak your Windows Registry, clean up the hard drive, and erase tracks.",Windows,Free to try,Advanced Vista Optimizer 2009
307,"Integrate various features, tools, and applications into your Windows system.",Windows,Free to try,Extensions for Windows
308,Extract ISO images to a USB device.,Windows,Free,Free ISO to USB
309,"Diagnose and fix PC problems, enhance security, and optimize PC performance.",Windows,Free,IObit Toolbox
310,Synchronize and manage media files and documents with Windows Mobile powered devices.,Windows,Free,Microsoft Windows Mobile Device Center for Windows Vista (32-bit)
311,Adopt Ubuntu on your Windows machine without partitioning your hard drive or creating a boot CD.,Windows,Free,Wubi
312,Access NTFS partitions and copy files to FAT volumes or network drives.,Windows,Free,Active NTFS Reader for DOS
313,Delete data on hard disks so that it cannot be restored.,Windows,Free,Darik's Boot and Nuke for CD and DVD
314,Optimize and adjust performance of your operating system.,Windows,Free,Ashampoo WinOptimizer 2020
315,Recover your lost data from Mac OS.,Mac,Free to try,MiniTool Mac Data Recovery
316,Deploy virtual machines on your PC.,Windows,Free,VMware Workstation Player
317,Alter your Registry settings and increase Windows security.,Windows,Free to try,Tweaking Utility
318,See what programs are configured to start up automatically when your system boots and you login.,Windows,Free,Autoruns
319,Compress files in common archive formats.,Windows,Free to try,UltimateZip
320,"Back up your critical information to DVDs, CDs, and USB flash drives with this easy to use program.",Windows,Free to try,Backup to DVD/CD/Flash
321,Test components of your PC for endurance and reliability.,Windows,Free to try,BurnInTest Standard
322,Convert your documents into JPEG image files.,Windows,Free,Word to JPEG Converter 3000
323,"Backup, clone, and restore your information.",Mac,Free to try,SuperDuper
324,Forget the hassle of multiple USB receivers with powerful and reliable wireless connection.,Windows,Free,Logitech Unifying Software
325,Mount the ISO image as a virtual drive on your computer.,Windows,Free,Free ISO Mount
326,"Copy, compare, and pack your files, even upload them to FTP.",Windows,Free to try,Total Commander
327,"Scan, save, and print photos and documents from your PC.",Windows,Free,MP Navigator EX for Windows
328,Access blocked Web sites and apps with a VPN proxy on your Android devices.,Android,Free,Free VPN
329,Repair and build your master boot record.,Windows,Free,MbrFix
330,"Speed up, clean up, and fix your PC with advanced PC peak performance optimizer.",Windows,Free to try,AVG PC TuneUp
