,Description,Platform,Price,Product
47,Improve the speed and reliability of any Internet connection.,Windows,Free,Wireless Wizard
48,Control multiple PCs with a single keyboard and mouse.,Windows,Free to try,Multiplicity
49,Monitor all open TCP/IP & UDP ports,Windows,Free,Active Ports
50,Check network connection and test connection speeds of various locations.,Windows,Free,Ping Test Easy
51,IPsec VPN client (login required).,Mac,Free,Cisco VPN Client
52,"Improve your Wi-Fi network performace, troubleshoot dead zones, optimize AP placement and more.",Mac,Free,NetSpot
53,Monitor network and perform traffic-level network analysis.,Windows,Free,Network Probe
54,Access Global MU online information with popop blocker and news and event notifier.,Windows,Free,Global MU Online Toolbar
55,Establish encrypted VPN tunnels for secure connectivity.,Windows,Purchase,Cisco VPN Client
56,"Get a set of network scanning, security, and administrator tools useful for diagnosing networks.",Windows,Free to try,Essential NetTools
57,Configure the IP Address of your LAN interface.,Windows,Free,IP Changer
58,Analyze and fix protocols.,Windows,Free,Ethereal - Network Protocol Analyzer
59,"Monitor your IT systems and Web availability, and get problem alerts ahead of time.",Windows,Free to try,SiteScope
60,Host a TFTP server with a progress bar function so you can track file transfers.,Windows,Free to try,TFTP Desktop
61,Manage your Virtual Network Computing (VNC) connections.,Windows,Free to try,VNC Admin Console NG
62,Track the amount of your accumulated bandwidth and customize the data.,Windows,Free to try,Bandwidth Monitor
63,Block any Web site and display a fake error page.,Windows,Free,Any Weblock
64,Deploy a Telnet and SSH client for Windows.,Windows,Free to try,PenguiNet
65,Add realistic 3D capabilities to your online Live Search Maps.,Windows,Free,Virtual Earth 3D
66,Watch various online TV stations on your PC.,Windows,Free,Tvile First Pakistan & Indian TV
67,Compute IPv4 masks and host subnet ranges.,Windows,Free,IP Subnet Calculator for IPv4 and IPv6
68,Deliver all the server virtualization features needed to affordably create and manage a virtual infrastructure.,Windows,Free,Citrix XenServer
69,Establish FTP services and allow others to download or upload files on your PC.,Windows,Free to try,Nofeel FTP Server (32-bit)
70,Monitor network and display all currently opened TCP/IP and UDP ports on your local PC.,Windows,Free,TCPEye
71,Transfer data and files via TFTP protocol.,Windows,Free,Tftpd32
72,Turn your Bluetooth or WiFi enabled mobile phone into generic PC Remote Control.,Windows,Free to try,Bluetooth Remote Control
73,Load proprietary MIBs and issue SNMP requests to retrieve agent's data.,Windows,Free,iReasoning MIB Browser Personal Edition
74,Repair Winsock 2 settings caused by adware and spyware applications.,Windows,Free,LSPFix
75,multiserver newsreader,Windows,$35.00,NewsPro
76,Capture and analyze the traffic and protocols running on a computer network.,Windows,Free,Wireshark (64-bit)
77,Turn your laptop into a mobile wifi hotspot.,Windows,Free,Maryfi
78,Find and connect to shared WiFi around the world.,Android,Free,WiFi Master Key
79,Connect to remote Windows desktops.,Mac,Free,Microsoft Remote Desktop
80,"Transform your device into a wireless mouse, joystick, keyboard, remote desktop, and trackpad for multimedia PC control.",Windows,Free,Mouse Server
81,Get results for the highlighted text.,Windows,Free,Bit Che It
82,Access Unix or Linux hosts on a Windows workstation.,Windows,Free to try,Xshell
83,Automate the cache file building for an area selected in Google Earth.,Windows,Free,Google Earth Voyager
84,Create a layout of your network or communication system.,Windows,Free to try,LanFlow Net Diagrammer
85,"Change IP, change MAC address, change Proxy.",Windows,Free to try,IP Change Easy
86,Monitor connectivity and device availability of your network.,Windows,Free to try,NetGong
87,"Manage any remote connections (RDP, FTP, VNC, ICA, SSH, HTTP) and passwords.",Windows,Free to try,Remote Desktop Manager
88,"Establish communication over SSH (Secure Shell), Telnet, Rlogin, or serial connections.",Windows,Free to try,ZOC Terminal
89,Reveal troubles monitoring your IP-network.,Windows,Free,Big Brother
90,View and operate a PC on the LAN/WAN/Internet from your own PC.,Windows,Free to try,Proxy Remote Control Software
91,Create a WiFi Hotspot on your PC or Laptop.,Windows,Free to try,Thinix WiFi Hotspot
92,Net driver,Windows,Free,VIA Rhine II Fast Ethernet Adapter
93,Control a remote PC over LAN or Internet.,Windows,Free,Remote Control PC
94,Share your laptop WiFi to your second computer which lacks wireless adapter card.,Windows,Free to try,WiFi Sharing Manager
95,"Find out any information about a host name, an IP address, or a domain.",Windows,Free to try,SmartWhois
96,"Activate, deactivate, or reset applications without altering the base Windows installation.",Windows,Free,Software Virtualization Solution (SVS)
97,Wireless sniffer & scanner that uses monitor mode and passive scanning.,Mac,Free,KisMAC
98,Manage student computers easily.,Windows,Free to try,Net Control 2
99,Grab images from Web sites and set time interval.,Windows,Free to try,Ripper
100,"Cocoa front-end for SSH, SFTP and SCP.",Mac,Free,Fugu
101,Locate wireless network access points around your environment.,Windows,Free,WIFi Locator
102,Install Acrobat Reader to remote computers instantly from a workstation.,Windows,Free to try,Emco Acrobat Reader Deploy
103,Create stable virtual Wi-Fi hotspot with zero configuration.,Windows,Free,Virtual Router Simplicity
104,Forward connections to other hosts and ports.,Windows,Free,SPI Port Forward
105,Monitor and keep inventory of network devices.,Windows,Free,Spiceworks
106,"Setup, view, manage, and repair your Linksys home network.",Windows,Free,Linksys EasyLink Advisor
107,Receive news and event notifications and access online information with various features.,Windows,Free,Knight Online Toolbar
108,Manage and troubleshoot the Wi-Fi.,Windows,Free,Xirrus Wi-Fi Inspector
109,"Print from iPad, iPhone and iPod Touch to any your existing printer without AirPrint Printer or App.",Windows,Free to try,OPrint
110,"Make configuring your Apache Web Server, DNS, and FTP simpler.",Mac,Free to try,iTools (OS X)
111,Monitor internet and network connections.,Windows,Free to try,X-NetStat Professional
112,Monitor and evaluate your Internet protocol and network.,Windows,Free,IP Sniffer
113,Surf the Internet and hide your IP address.,Windows,Free,Loki VPN Client
114,View the status of all WiFi wireless hotspots around you.,Windows,Free,WiFi Channel Scanner
115,Access your desktop PC from any device anywhere and any time.,Windows,Free to try,I'm InTouch
116,Discover your whole network in a few seconds.,Windows,Free,Fing
117,Watch and control your client's activity without being noticed.,Windows,Free to try,What Are You Doing?
118,Access your computer from a remote location.,Windows,Free to try,Remote Explorer
119,Access the Internet via secure remote connection over IP networks.,Windows,Free to try,VPN Client
120,"View PCs, chat, and transfer files remotely.",Windows,Free to try,Beyond Remote
121,Maintain the evidence of the hardware and software configurations of the computers in a LAN.,Windows,Free to try,IP Inventory
122,"Control your Internet, LAN, or WAN network traffic.",Windows,Free to try,Bandwidth Meter
123,Create a network hot spot on Windows 10 PC.,Windows,Free,Hotspot
124,Access remote computer by port forwarding until the destination is achieved.,Windows,Free to try,Port Forwarding Wizard
125,Allow you to connect to and control your devices.,Windows,Free to try,RealVNC
126,"Send instant messages, e-mails, and files to multiple recipients.",Windows,Free,Bassline WinPopUp
127,"Set up hotspot for social and hotel WiFi, control and bill your customers for the Internet usage.",Windows,Free to try,Antamedia HotSpot
128,Try this Ethernet packet capture program that displays network traffic in real time.,Windows,Free to try,Network Spy
129,Access multiple PCs remotely from one machine.,Windows,Free,UltraVNC (64 bit)
130,Access restricted Web sites and apps and browse Internet privately.,Android,Free,VPN Proxy Master - free unblock VPN & security VPN
131,Access your PC from remote locations.,Windows,Free,TrueRemote
132,Detect and correct errors on your LAN and WAN servers.,Windows,Free to try,ActiveXperts Network Monitor (32-bit)
133,Connect your LAN to the Internet via a modem or ISDN connection.,Windows,Free to try,NetProxy
134,"Display your hardware information in a well-organized, easy-to-understand way.",Windows,Free to try,HardInfo 2008 Enterprise
135,Create back up copies of your SIM card.,Windows,Free,GSM SIM Utility
136,"Communicate with Telnet and RS232 enabled devices and servers.
",Windows,Free to try,Indigo Terminal Emulator
137,802.11 WiFi wireless scanner and connection manager.,Mac,$14.99,WiFi Scanner
138,"Detect and connect to wireless networks, store personalized profiles, and set up networks anywhere.",Windows,Free to try,Winc
139,Give your customers the flexibility and extra mobility with Wireless Internet Access.,Windows,Free,MyHotspot
140,Monitor critical network resources and detect system failures or performance problems.,Windows,Free,IPCheck Server Monitor
141,"Connect and manage PCs running VNC, RDP, HyperV, SSH, RAdmin, Team Viewer, and DameWare servers.",Windows,Free to try,SmartCode VNC Manager (Enterprise Edition)
142,"Manage company news, events, projects, chat, forums, Web links, files, and documents.",Windows,Free,ASP Intranet
143,Client for use with DNS services from Dyn.,Mac,Free,Dyn Updater
144,Get remote control software that used 'DirectX' and 'GDI+'.,Windows,Free,IgRemote
145,Set up cross-platform  multi-protocol VPN Server supporting SSL-VPN/OpenVPN/L2TP and SSTP.,Windows,Free,SoftEther VPN Server
146,"Scan, monitor, and manage your network.",Windows,Free,Axence netTools
147,Control network computers remotely.,Windows,Free to try,Remote Desktop Control
148,Turn your Windows 7 laptop or PC into a wireless router and share any files between computers.,Windows,Free to try,RouterSoft
149,Manage a remote PC from your own through the Internet or your local network.,Windows,Free to try,Marspc Remote Desktop Computing
150,Access TV channels and radio stations online.,Windows,Free to try,Orbatel Satellite TV on PC Player Software
151,Reconnect and disconnect to network or Internet connection automatically.,Windows,Free,ReConnect
152,Build an instant private network between computers.,Windows,Free,Remobo
153,Access thousands of ringtones and screensavers for your wireless cell phone.,Windows,Free to try,3Gtopia Desktop
154,Acquire Telnet and SSH client for Intranet and Internet.,Windows,Free to try,Erics TelNet98
155,Make music and photos you publish to DVR on home network.,Windows,Free,Tivo Desktop
156,Establish a secure connection to VPN resources.,Linux,Free,Cisco AnyConnect VPN Client for Linux
157,Secure your Internet connection by using tunnel service.,Windows,Free,iZone Cloud
158,Create Wi-Fi hot spot on your PC and share Internet connection with other devices.,Windows,Free,Free WiFi Hotspot
159,Manage your wireless networks and settings using API functions.,Windows,Free to try,WiFi-Manager
160,Make complete inventory of your entire network without deploying client agents.,Windows,Free to try,LOGINventory
161,"Get notifications about the stability of your network, servers, or workstations.",Windows,Free to try,P-Ping Tools
162,Automates the network audit process and overall IT administration.,Windows,Free to try,EVEREST Corporate Edition
163,"Manage all of your Wi-Fi connections, including your home and office networks.",Windows,Free,T-Mobile Connection Manager
164,Scan for nearby Wi-Fi access points and gather data on them.,Windows,Free,NetSurveyor
165,Shut down or reboot a remote computer.,Windows,Free,LanShutDown
166,Audit software and hardware components installed on the network computers.,Windows,Free to try,Alchemy Network Inventory
167,"Access end-users' computers, laptops, and servers for remote administration and support.",Windows,Free to try,Dameware Mini Remote Control
168,"Display machines, Mac users, IPs on the local network.",Mac,Free,IP Scanner
169,Ping the NT servers on your network and become notified when a system halts response.,Windows,Free,FreePing
170,"Manage software licenses, installed applications and hardware on your Mac.",Mac,Free,Network Inventory Advisor
171,Detect potential vulnerabilities in your network.,Windows,Free,Nessus (32 bit)
172,Browse and manage Windows Workgroups and Active Directory domains.,Windows,Free to try,Ideal Administration
173,Discover and audit networked and standalone computers.,Windows,Free,Alloy Discovery Express
174,"Anylize the network tracking, recovering, and assigning IP addresses.",Windows,Free,OmniPing
175,"Get instant secure access to your computer and its programs and e-mail, from anywhere.",Mac,Free,LogMeIn Free
176,View network and Internet connections for a particular machine.,Windows,Free to try,X-NetStat
177,Manage your connection to the AT&T network and to Wi-Fi networks. ,Windows,Free,AT&T Communication Manager
178,Monitor and track your Internet traffic history.,Windows,Free to try,NetLimiter Pro 3 (64 bit)
179,Empowers users with cost-effective access to X Window applications on UNIX,Windows,Free to try,Exceed
180,Simplify complicated networks management in price-sensitive corporate environments. ,Windows,Free to try,DHCP Turbo
181,Find MAC addresses of computers on the network.,Windows,Free to try,Find MAC Address
182,Find and map 802.11b/g/n wireless networks.,Mac,Free to try,iStumbler
183,Add and control VNC to remote clients.,Windows,Free,PushVNC
184,"Manage your workstations, servers, and devices from a single console.",Windows,Free to try,VENM Remote Desktop Manager
185,Manipulate servers and workstations on your network remotely.,Windows,Free to try,PC-Duo Remote Control
186,Filter network traffic to focus on the information you are looking for.,Windows,Free to try,Packet Analyzer Professional Edition
187,Arrange multiple computers into one secure network.,Mac,Free,LogMeIn Hamachi
188,Turn your system into a multiuser Telnet server with full access to Windows command line.,Windows,Free to try,Telnet Server for Windows NT/2000/XP
189,Set up internal e-mail service in LAN environment.,Windows,Free,Office Mail
190,Access your computer from any Internet connected PC.,Windows,Free to try,WebEx PCNow
191,"Provide remote support to your clients, transfer files, and reboot their machine through firewalls.",Windows,Free to try,Remote Support System
192,"Scan your network, identify devices and operating systems.",Windows,Free to try,NetPeek
193,Turn your PC into a wireless hotspot.,Windows,Free to try,MyRouter
194,Allow Internet users to access your computer via a static host name.,Windows,Free,Winip
195,Save your routers' running configurations to a TFTP server.,Windows,Free,WrNet
196,Design and configure for your various needs.,Windows,Free,GNS3
197,Automate Internet and cyber cafe timing and manage billing of time and use.,Windows,Free,NetSpy
198,Facilitate set up and installation of various Fortinet products.,Windows,Free,FortiExplorer
199,Manage network usage for each application or connection.,Windows,Free to try,NetPeeker
200,Control another PC remotely via Internet.,Windows,Free to try,Huey PC Remote Control
201,"Provide inexpensive 3270, 5250, VT100, VT220 and ANSI terminal emulation.",Windows,Free to try,TN3270 Plus
202,Try this highly visual version of an ICMP Ping program.,Windows,Free,Ping-O-Meter
203,Monitor and secure network PCs.,Windows,Free to try,MegaPing
204,Configure and manage desktops and laptops remotely in Windows network.,Windows,Free to try,ManageEngine Desktop Central
205,"Scan hundreds computers per second, ping each IP address to check if it's alive.",Windows,Free,Free IP Scanner
206,Send messages to other people on your local network without connecting to a server.,Windows,Free to try,LANMessage Pro
207,"Shut down, start up, and perform PC functions over network.",Mac,Free,Server Tools
208,Use the web via the protected VPN connection.,Windows,Free to try,TheGreenBow VPN Client
209,Carry out your LAN administration and view information about it.,Windows,Free to try,LANView
210,Monitor and analyze your network environment.,Windows,Free,NET Traffic Meter
211,Create random or custom WEP or WPA keys.,Windows,Free,WEP and WPA keygenerator
212,Shut down one or more machines with this rebooting software.,Windows,Free to try,EMCO Remote Shutdown
213,Remote control to manage Macs.,Mac,Free,Apple Remote Desktop Client
214,Store and manage all your remote control connections in a single place.,Windows,Free,mRemote
215,Enterprise/standard edition database server.,Mac,Free,Oracle 10g
216,Unlock Motorola phones using a USB application.,Windows,Free to try,MotoBlade Unlock
217,Pass your Cisco Certification exam.,Windows,Free,CiscoKits CCNA Subnet Calculator
218,Trace the communication beteween your browser and the server it is connected to.,Windows,Free to try,HTTP Tracer
219,Scan IP and MAC address and detect subnets automatically.,Windows,Free,Colasoft MAC Scanner
220,Increase client/users effectiveness optimizing your internal company's communication.,Windows,Free,VCM
221,"Monitor your network servers, router, databases and receive notifications of problems.",Windows,Free to try,IPSentry Network Monitoring Suite
222,Analyze Internet connections and track network problems.,Mac,Free to try,VisualRoute
223,Perform vulnerability scan and security analysis within your network.,Windows,Free to try,Nessus (64-bit)
224,Administrate your system securely from a remote location.,Windows,Free,CopSSH
225,"Receive, log, display, and forward Syslog messages from hosts.",Windows,Free to try,Kiwi Syslog Server
226,Industrial strength Email server for Windows,Windows,$299.00,SLmail
227,Control your PC remotely.,Windows,Free,Network Anywhere Personal Edition
228,Perform remote network tasks using Unix commands.,Windows,Free,MobaXterm
229,"Accelerate your business success with industry-leading, simplified secure endpoint VPN client connectivity to enterprise network.",Windows,Purchase,Cisco AnyConnect
230,"Manage your Internet cafe, monitor PCs, and generate reports.",Windows,Free to try,WinCybercafe Internet Cafe Software
231,Control Winamp remotely using your Bluetooth mobile phone.,Windows,Free,Winamp Bluetooth Control
232,Download and manage movie clips from youtube.com and other similar Web sites.,Windows,Free,DownUtube
233,Monitor your network download volume.,Windows,Free,CostAware
234,"Run the Internet cafe, manage client sessions, and maintain customer billing.",Windows,Free to try,Cafe Manager Pro
235,Get access to your home or office computer via e-mail.,Windows,Free,GetByMail
236,Establish secure TCP/IP tunnel for remote server administration using SSH.,Windows,Free to try,Tunnelier
237,Listen to the live feeds WebmasterRadio.FM and read podcasts about upcoming shows.,Windows,Free,Webmaster Radio FM
238,Control and manage multiple computers in different places.,Windows,Free to try,Netman Enterprise
239,Switch pre-configured network settings without reboot.,Windows,Free,Free IP Switcher
240,Enable tethering via Wifi and Bluetooth for your Android device.,Android,Free,Android-Wifi-Tether
241,"Scan network, search for files in network, and monitor PCs by IP.

",Windows,Free to try,MyLanViewer
242,"Do port-to-process mapping, monitor network sockets, and detect Trojans.",Windows,Free to try,DiamondCS Port Explorer
243,Network administration and security testing utility.,Mac,Free,NetScan
244,Control your Nokia 7650 or 3650 phone from your desktop PC.,Windows,Free to try,Remote S60
245,Auto connect to Wi-Fi hotspots which need username & password.,Mac,Free,Easy WiFi
246,Scan all active components in your LAN and send alert messages.,Windows,Free to try,Pinger Private Edition
247,Get access to authorized PC from anywhere.,Windows,Free,Go2PC Anywhere Free
248,Change and view your IP address or DNS/WINS.,Windows,Free,Fast IP Changer
249,"Easily access your files, photos, videos, and music from any PC or TV in your home, or even while away from home.",Windows,Free to try,Windows Home Server
250,"Anytime, anywhere secure access to your PC's files and applications.",Windows,Free to try,LogMeIn Pro
251,Bypass and reduce waiting time limit.,Windows,Free,RapidDowner
252,Get remote access to graphical desktops via slow network connection.,Windows,Free,TightVNC (64 bit)
253,"Find out names, IPs, MAC addresses, and NIC manufacturers of computers on your LAN.",Windows,Free to try,Whaddayagot Pro
254,Monitor all available devices compatible with the UPnP protocol over your network.,Windows,Free,Universal Plug-and-Play Tester
255,Set download or upload transfer rate priority for applications and monitor their net traffic.,Windows,Free,NetBalancer Free
256,Boost your Internet marketing and Web site business.,Windows,Free to try,Web-click Expert
257,Assist teachers and administrators to monitor PC activities in a windows network.,Windows,Free to try,UserMonitor
258,Turn your PC into a server to enable Unix users to access the Windows resources.,Windows,Free to try,Omni-NFS Server
259,Stay invisible when surfing the Internet.,Windows,Free to try,SmartHide
260,Monitor your computer systems and networks.,Windows,Free to try,"WatchDog System, Application, & Network Monitor"
261,Monitor the current speed of your connection and the amount of data transferred.,Windows,Free,NetSpeedMonitor (32-bit)
262,Used to update Linksys & MacSense routers.,Mac,Free to try,MacTFTP Client
263,Connect to and manage remote desktops using a tabbed user interface.,Windows,Free,RD Tabs
264,"Share a single dial-up, DSL, cable modem, or satellite connection over a home or office network.",Windows,Free to try,PPPshar Lite
265,Test and diagnose network problems with this software.,Windows,Free to try,Capturix NetWorks
266,Monitor the temperature of your PCs and send notifications via e-mail or cell phone.,Windows,Free to try,TempElert
267,Scan ports and predefined port ranges.,Windows,Free,FreePortScanner
268,Navigate the web with fast and free full-featured browser for Android Tablet.,Android,Free,UC Browser HD
269,Choose and create different configurations to our LAN board.,Windows,Free,MacIP Change
270,Speed up Internet access by running your own DNS server.,Windows,Free to try,Simple DNS Plus
271,"Monitor your servers, switches, routers & other systems 24x7 and get alerts for potential problems.",Windows,Free to try,Tembria Server Monitor
272,Manage your network settings and be able to switch between six different profiles. ,Windows,Free,NetSetMan
273,"Monitor your bandwidth usage, IP address changes, and weekly/monthly data transfer statistics.",Windows,Free to try,Net Meter Pro
274,Manage and access multiple servers and desktops.,Windows,Free to try,Visionapp Remote Desktop
275,Message back and forth between people over your office network.  ,Windows,Free,Kinberlink
276,Ping selected hosts to test your network connectivity.,Windows,Free,myPing
277,"Scan, monitor, and map your networks.",Windows,Free,The Dude
278,Add VNC screen sharing and remote control capabilities to your applications.,Windows,Free to try,SmartCode ViewerX VNC Viewer ActiveX Control
279,Track connections and notify on lost or restore.,Windows,Free,EMCO Ping Monitor Free
280,"Manipulate and edit Web sessions, debug traffic from virtually any application that uses proxy.",Windows,Free,Fiddler
281,Perform PPP authentication and accounting on standard radius server basis.,Windows,Free to try,WinRadius
282,Bring the Internet to your networked machines over a single connection.,Windows,Free to try,1st Up Net Proxy Server
283,Measure and display all traffic on your network.,Windows,Free to try,BWMeter
284,Monitor and administrate your network and generate management reports.,Windows,Free to try,LANsurveyor
285,Work with remote USB device over Internet/LAN/WAN as if it was connected directly to the computer.,Mac,Free to try,USB Network Gate
286,"Protect your Mac against breaking cyber threats with free antivirus, parental Web control, and VPN.",Mac,Free,FortiClient
287,Manage and access multiple wireless access points.,Windows,Free to try,Ubiquiti UniFi
288,Detect and gather information on wireless networks,Windows,Free,Wi-Fi Scanner
289,"Monitor, analyze, and manage a network.",Windows,Free to try,LanHelper
290,Connect to Unix or Linux environments and run X-Windows applications on your PC.,Windows,Free to try,XSecurePro
291,Access a computer remotely without a client download.,Windows,Free,SimpleDesktop
292,Get YouTube videos download and direct links.,Windows,Free,Tube Grab
293,"Accelerate downloads of music, movies, TV shows, and audio books in iTunes.",Windows,Free,Autobahn Accelerator
294,Allow external access to all computers on your network.,Windows,Free,VNCEverywhere Free
295,Perform network inventory scan and generate reports.,Windows,Free to try,Network Asset Tracker Pro
296,Connect to Aventail VPNs with this adapter.,Windows,Free,Aventail VPN Adapter
297,NVIDIA Network Bus Enumerator driver,Windows,Free,NVIDIA Network Bus Enumerator
298,Transfer files from a Bluetooth-enabled computer to multiple Bluetooth-enabled devices.,Windows,Free to try,BlueSender
299,Detect available networks and manage connection and security settings automatically.,Windows,Free,Avanquest Connection Manager - Free
300,"Monitor, report and alert on the availability and performance of your IT infrastructure.",Windows,Free,ServersCheck Monitoring Software
301,Access to online broadcasts of 4000 live TV stations from your PC.,Windows,Free to try,Internet TV
302,Scan from any TWAIN or WIA compliant desktop scanner into any hosted software.,Windows,Free to try,RemoteScan Enterprise
303,Transfer files between two PCs connected over LAN.,Windows,Free,Dukto
304,Solve bottlenecks or spot illegitimate activity by capturing all traffic that travels through a network.,Windows,Free to try,Sniff-em
305,Switch between several networks using configuration profiles.,Windows,Free to try,Mobile Net Switch
306,Manage and control remote computers from anywhere.,Windows,Free,Remote Administrator Control Client
307,Generate reciprocal link trades and find Web sites automatically.,Windows,Free to try,Zeus Internet Marketing Robot
308,Send signal from your USB or PCI TV Tuner device over high speed Internet.,Windows,Free,Tele-Cap Free
309,Create software and hardware inventory reports of your workstations.,Windows,Free to try,Network Inventory Master
310,Know your system's status from remote location via e-mail and SMS alert.,Windows,Free,Ping Alert
311,"Get direct, one-click access to all your LogMeIn computers without a browser.",Windows,Free to try,LogMeIn Ignition
312,Home network management app.,Mac,Free,NETGEAR Genie
313,Access and control a remote machine from any Internet-connected computer.,Windows,Free to try,PlanetRemote Remote Control
314,Gather data about your network.,Windows,Free to try,Netwatch
315,Chat and edit profiles of fellow network users.,Windows,Free to try,WinPopup Gold
316,Capture data packets from your network and the Internet.,Windows,Free,NetworkActiv PIAFCTM
317,Store important network utilities in one place.,Windows,Free,Free IP Tools
318,Ping and compare multiple IP addresses.,Windows,Free,Colasoft Ping Tool
319,Enable remote users to connect to their workplace without having to install any client software.,Windows,Free to try,OvisGate SSL VPN Server
320,Test the speed of your Internet connection.,Windows,Free,SpeedConnect Connection Tester
321,"Manage, monitor, and report network inventory.",Windows,Free to try,Total Network Inventory
322,Monitor open TCP and UDP ports and software applications that open them on your computer.,Windows,Free to try,Open Ports Scanner
323,Power up and get IP or MAC address of any machines on your LAN.,Windows,Free,Remote wake on LAN
324,Identify the wireless network vulnerabilities and protect WLANs from intrusions.,Windows,Free to try,ManageEngine WiFi Manager
325,Obtain a list of all IP addresses associated with the hostname.,Windows,Free,IP-Lister
326,See users' screens and take control of a remote computer by controlling mouse and keyboard.,Windows,Free to try,Network LookOut Administrator Pro
327,Calculate net addresses and masks.,Windows,Free,LanCalculator
328,Search for hotspots by multiple parameters.,Windows,Free to try,Hotspot Selector
329,Access TCP ports on your computer.,Windows,Free,Local TCP Port Opener
330,"Control any Mac, Linux, Windows or SSH device remotely.",Windows,Free,Goverlan Remote Control
331,Control remote desktops without interrupting users.,Windows,Free to try,AdminMagic
332,"Use ping, WHOIS and traceroute functions.",Windows,Free to try,Magic NetTrace
