,Description,Platform,Price,Product
25,Download this complete PHP development and server environment for Windows.,Windows,Free,PHPTriad
26,Edit files with this freeware text editor.,Windows,Free,Programmer's File Editor (32-bit)
27,Learn and build desktop and small server applications and redistribute by ISVs.,Windows,Free,Microsoft SQL Server 2008 Express (64-bit)
28,Distribute your Access 2007 applications to other users.,Windows,Free,Access 2007 Download: Access Runtime
29,Offer bug fixes for previous released of MSXML 3.0 SP.,Windows,Free,Microsoft XML Parser (MSXML) 3.0 Service Pack 7 (SP7)
30,Incorporate video and audio playback functions into your business applications.,Windows,Free to try,Movie Player Pro ActiveX Control
31,"Create serial keys for your C# .NET, VB .NET, C++ Builder, Delphi, and Java applications.",Windows,Free to try,Serial Key Generator
32,"Create and browse MySQL databases, run SQL queries, or build reports.",Windows,Free to try,Navicat 15 for MySQL (32-bit) (MySQL GUI)
33,Develop graphics applications.,Windows,Free,OpenGL
34,Convert scanned images to digital text.,Windows,Free to try,SimpleOCR
35,"Recover files from damaged or corrupted CD, DVD, HD FVD, Blu-Ray disks.",Windows,Free,CD Recovery Toolbox Free
36,Write and compile programs in Pascal.,Windows,Free,Bloodshed Dev-Pascal
37,Update the .NET platform binaries on your system.,Windows,Free,Microsoft .NET Framework 4.8
38,Learn how to use the Visual Basic 6.0 programming language and environment.,Windows,Free to try,Learn Visual Basic 6
39,Edit XML files with an editor that uses a synchronized table-tree-and-text display. ,Windows,Free to try,XML Marker
40,"Develop Web pages which supports CGI, frames, Perl, C++, and Java.",Windows,Free,Arachnophilia
41,Compile C/C++ programs for using in Windows environment.,Windows,Free,Digital Mars C/C++ Compiler
42,Create and manage Web sites using WYSIWYG editor.,Windows,Free to try,Namo WebEditor
43,"Edit, analyze, debug, publish websites powered by PHP, HTML5, CSS3 to JavaScript.",Windows,Free to try,phpDesigner 8
44,"Decompile programs (EXE, DLL or OCX) written in VB 5.0/6.0 and disassemble .NET programs.",Windows,Free to try,VB Decompiler
45,Make web pages quickly and easily with this all-in-one web page maker.,Windows,Free,WebDwarf
46,"Edit programs in HTML, C/C++, Perl, Java, and other languages.",Windows,Free,Crimson Editor
47,Learn the C fundamentals and test your skills.,Windows,Free to try,Programming C
48,Handle PL/SQL program units with integrated development environment.,Windows,Free to try,PL/SQL Developer
49,Update Java components.,Mac,Free,Apple Java for OS X 10.6
50,Create sophisticated Web sites with no coding necessary.,Windows,Free to try,SiteSpinner
51,Update the .NET platform binaries on your system.,Windows,Free,Microsoft .NET Framework 4.8
52,Get these runtime libraries for a wide range of application suites,Windows,Free,GTK+ 2 Runtime Environment
53,Add SQL Server 2008 support and new ADO.NET features to your Visual Studio 2008.,Windows,Purchase,Microsoft Visual Studio 2008 Service Pack 1
54,Create macros and edit text in scripting-oriented editor supporting Unicode and large files.,Windows,Free to try,EmEditor Professional (32 bit)
55,"Edit, transform, and debug XML data.",Windows,Free to try,Altova XMLSpy Professional Edition
56,Build Java-based database applications for intranets and the Internet.,Windows,Free to try,BulletProof JDesignerPro
57,Modify and examine the contents of XML files.,Windows,Free,XML Viewer
58,Create and edit Web sites switching between HTML and WYSIWYG.,Windows,Free,PageBreeze Free HTML Editor
59,Learn and build desktop and small server applications and redistribute by ISVs.,Windows,Free,Microsoft SQL Server 2008 Express (32-bit)
60,"Drag the content over and create a Web site from scratch, or customize built-in templates.",Windows,Free to try,WebSite X5 Evolution
61,Enable rich Internet applications created with the Adobe development platform.,Windows,Free,Adobe AIR
62,Develop applications in a Unix-like shell with GNU tools.,Windows,Free,Cygwin
63,"Provide data recovery tool, hex, disk, and RAM editor.",Windows,Free to try,WinHex
64,Compile programs in Pascal.,Windows,Free,Free Pascal
65,Make games for Windows Mobile-based Smartphones and Pocket PC VGA devices.,Windows,Free,Game Editor
66,Create single-file self-extracting setups for your applications.,Windows,Free,Ghost Installer Free Edition
67,Develop Windows applications using the Fortran 95 programming language.,Windows,Free,Silverfrost FTN95
68,"Edit Javascript, HTML, and AJAX source code.",Windows,Free,Free JavaScript Editor
69,"Get the latest updates to Visual FoxPro 9.0, including fixes to customer reported issues.",Windows,Free,Microsoft Visual FoxPro 9.0 Service Pack 2.0
70,"Add Bluetooth, IrDA, and WiFi support into your C++ apps.",Windows,Free to try,Wireless Communication Library C++ Developer Edition
71,Edit binary files using hex editor with advanced features.,Windows,Free,Hex Edit Free
72,Install runtime components of Visual C++ Libraries.,Windows,Free,Microsoft Visual C++ 2005 Redistributable Package (x86)
73,Create and compile FORTRAN 77 programs.,Windows,Free,Force
74,"Create web albums from your digital photos, customize with skins and publish on any site.",Windows,Free to try,jAlbum
75,"Construct data-focused client apps, n-tier apps, and rich Web applications.",Windows,$499.00,Microsoft Visual Studio 2005 Standard Edition 
76,Create games and multimedia applications without programming skills and knowledge.,Windows,Free to try,Multimedia Fusion 2
77,Build your Web pages with open source HTML editor.,Windows,Free,KompoZer
78,View and edit programming languages source code.,Windows,Free to try,Professional Notepad
79,"Check and edit HTML, CSS, and XHTML.",Windows,Free,CSE HTML Validator Lite
80,Create apps for any task and any platform.,Windows,Free,Visual Studio Community
81,"View and modify the internal structure of 32-bit Windows executables, including resources.",Windows,Free to try,PE Explorer
82,"Create, edit, and deploy Web sites with ease and precision.",Windows,Free to try,First Page 2006
83,Develop Java applications within the integrated development environment.,Windows,Free,NetBeans IDE
84,Search and replace text across multiple files.,Windows,Free,TextCrawler
85,Create your Web site without HTML or coding knowledge.,Windows,Free,BlueVoda Website Builder
86,Edit your Web pages with this unique and simple Notepad-style HTML editor.,Windows,Free,HTML Editor
87,Create apps for any task and any platform.,Windows,"$1,199.00",Visual Studio Professional 2017
88,Create update patches that contain only the code changed between versions.,Windows,Free,Patch Maker
89,Increase traffic to your Web site by submitting it to multiple search engines.,Windows,Free to try,AddWeb Website Promoter
90,"Edit and format XML files, including XHTML and XSD.",Windows,Free,XMLBuddy
91,Manage Visual C++ document windows with vertical and horizontal bars of tabs.,Windows,Free to try,Visual Studio Booster
92,Create JAD files for your Java-based games.,Windows,Free,JADMaker
93,"Update Visual Basic 6.0, Visual C++ 6.0, and Visual Source Safe 6.0d.",Windows,Free,"Service Pack 6 for Visual Basic 6.0, Visual C++ 6.0 with Visual Source Safe 6.0d"
94,Mac OS X development environment.,Mac,Free,Apple Xcode
95,Get an open source software implementation of the Java Servlet and JavaServer Pages technologies.,Windows,Free,Apache Tomcat (64 bit)
96,Mac OS X development environment.,Mac,Free,Apple Xcode
97,Run Java programs by double clicking class files in Explorer and create EXE and executable JAR files.,Windows,Free,Java Launcher
98,"Develop Android applications that you can run, test, profile, and debug.",Windows,Free,Android SDK Tools
99,Create AutoPlay CD or DVD menus.,Windows,Free to try,AutoPlay Media Studio
100,"Design, develop, and maintain standards-based websites and applications.",Mac,Free to try,Adobe Dreamweaver CC
101,Improve security of Microsoft .NET Framework 1.1.,Windows,Free,Microsoft .NET Framework 1.1 Service Pack 1
102,View and edit Microsoft Access MDB and ACCDB files.,Windows,Free,MDB Viewer Plus 
103,Learn the fundamentals of C++ as it is implemented in Borland Builder.,Windows,Free to try,C++ Fundamentals for Borland C++ Builder
104,Develop and deploy neural networks and other adaptive systems.,Windows,Free to try,Synapse
105,Learn from others' daily Java experiences.,Windows,Free,330 Java Tips
106,"Improve analyzing, editing, publishing, and debugging processes for professional developers.",Windows,Free,PHP Designer 2007 - Personal
107,Get guidance in deploying MS Office Professional Edition 2003.,Windows,Free,Upgrading to Microsoft Office 2003
108,Automate the administration of Windows and other applications.,Windows,Free,Microsoft Windows PowerShell 1.0 for Windows XP
109,Add AutoComplete capabilities to your Visual Basic and VBA products.,Windows,Free to try,AutoComplete ActiveX Control
110,Create installers for your software.,Windows,Free to try,Setup Factory
111,"Design, document, construct, and manage object-oriented software systems.",Windows,Free to try,Enterprise Architect
112,"Create, integrate, and utilize software tools in a plug-in based framework.",Windows,Free,Eclipse Classic (32 bit)
113,Update Visual Basic 6.0.,Windows,Free,Service Pack 6 for Visual Basic 6.0
114,ftp/ftps/sftp/webdav client with a finder-like UI,Mac,$24.95,NetFinder
115,Enable you to distribute Access 2010 applications to users who do not have the full version of Access 2010 installed on their computers.,Windows,Free,Microsoft Access 2010 Runtime (32-bit)
116,Build your own professional HTML and Flash Web site in minutes.,Windows,Free,FlashBuilder
117,Edit and format your XML code documents.,Windows,Free,XmlPad
118,"Add the capability to play, record, and convert WAV files to your applications.",Windows,Free to try,Wave Audio Player/Recorder OCX
119,Create web sites and blogs.,Mac,Free to try,Apple iWeb
120,Edit and format your XML code documents.,Windows,Free,XmlPad
121,Pack Java classes and create Windows executable files.,Windows,Free,JAR Maker
122,Generate C# and VB.Net classes and stored procedures from customizable templates.,Windows,Free,MyGeneration
123,"Search, edit, and view large files as text or hex.",Windows,Free to try,HexToolbox
124,Analyze and debug applications with focus on binary code.,Windows,Free,OllyDbg
125,Embed the Windows Media Player control into FrontPage Web pages and SharePoint sites easily.,Windows,Free,Windows Media Player 9 Series and 10 Series Add-in for Microsoft FrontPage
126,Enable you to distribute Access 2010 applications to users who do not have the full version of Access 2010 installed on their computers.,Windows,Free,Microsoft Access 2010 Runtime (32-bit)
127,Keep track of business issues and automatically manage them to resolution.,Windows,Free to try,ProblemTracker
128,Edit HTML code and text on your Mac.,Mac,Free to try,BBEdit
129,Bring life to your Web page with 20 Java effects.,Windows,Free,Applet FX Freeware Edition
130,Learn to program network-enabled applications.,Windows,Free,An Introduction to TCP/IP Programming
131,Create Web sites with transparent layers and master pages.,Windows,Free to try,Antenna Web Design Studio
132,Install the runtime components of Visual C++ libraries.,Windows,Free,Microsoft Visual C++ 2010 Redistributable Package (x86)
133,Run and develop applications targeting .NET Framework.,Windows,Free,Microsoft .NET Framework Redistributable Package
134,Create professional looking drop down menus for your Web site and make the navigation effective.,Windows,Free to try,Sothink DHTML Menu
135,"Try this simple, powerful hex editor.",Windows,Free,HexEdit
136,"Access, configure, manage, administer, and develop all components of SQL Server.",Windows,Free,Microsoft SQL Server 2008 Management Studio Express (32-bit)
137,Manage SQL Server 2005 Express Edition and SQL Server 2005 Express Edition with advanced services.,Windows,Free,Microsoft SQL Server Management Studio Express (64-bit)
138,Use this bilingual editor to program in both Urdu and English.,Windows,Free to try,Urdu Editor
139,Pick the colors your need for Web design needs.,Windows,Free,Pixie
140,Incorporate fingerprint security in FileMaker.,Windows,Free to try,Biometric Fingerprint Reader
141,runtime components of visual C++ libraries,Windows,Free,Microsoft Visual C++ 2008 Redistributable 
142,Offer class libraries and common language runtime for .NET Compact Framework.,Windows,Free,.NET Compact Framework 2.0 Service Pack 2 Redistributable
143,Fix a number of bugs in SQL Server 7.0 and MSDE 1.0 with this Service Pack.,Windows,Free,SQL Server 7.0 Service Pack 4
144,Use this set of three programs to illustrate the advanced uses of Visual Basic with databases.,Windows,Free,Visual Basic Database Projects
145,Convert Setup executable .exe to msi package.,Windows,Free,Exe to Msi Converter Free
146,Host a Web server supporting CGI/Perl scripts on your computer.,Windows,Free,Xerver Free Web Server
147,convert live/prerecorded media,Windows,Free,Windows Media Encoder
148,"Let your application create 3D and 2D vector models for CAD, CAM, and GIS.",Windows,Free to try,EWDraw CAD Component Ultimate Edition
149,Create professional-looking drop down menus for your web site without writing any code or scripts.,Windows,Free to try,DHTML Menu Builder
150,Install Visual C++ Libraries runtime components.,Windows,Free,Microsoft Visual C++ 2005 SP1 Redistributable Package (x64)
151,"Create Flash Web sites, intros, banners, and ads.",Windows,Free to try,Flash Website Design Pro
152,Get an extensible server with the current HTTP standards.,Windows,Free,Apache HTTP Server for Windows
153,Lock your software products to have them run only on the registered user's computer.,Windows,Free to try,Code-Lock
154,Improve your own developing environment.,Windows,Free,Davor's PHP Editor
155,Secure and repair bugs on MSXML 4.0.,Windows,Free,MSXML 4.0 Service Pack 2 (Microsoft XML Core Services)
156,Modify Access databases with this SQL tool and editor.,Windows,Free,MDB Browser and Editor
157,"Edit programs in ASP, PHP, Java, C/C++, and other languages.",Windows,Free,Source Edit
158,Design and publish your Web pages.,Windows,Free,MoreMotion Web Express
159,Create your own banners for Web sites.,Windows,Free to try,Banner Factory
160,"Create, edit, and publish your personal pages to MySpace.",Windows,Free to try,MYLT Pro
161,"Integrate systems effectively with clean syntax, high-level data structures, dynamic typing, and rich support libraries.
",Windows,Free,Python (32-bit)
162,Make your application display and interact with Microsoft Office files.,Windows,Free to try,Edraw Office Viewer Component
163,Offer server-safe components and improve previous versions of MSXML.,Windows,Free,Microsoft Core XML Services (MSXML) 6.0
164,Install the latest version of MS Visual Basic run-time files.,Windows,Free,Visual Basic 6.0 Run-time Files
165,Update and repair bugs found in MDAC 2.7 SP1.,Windows,Free,Microsoft Data Access Components (MDAC) 2.7 Service Pack 1 Refresh
166,Edit programming projects with a language-neutral IDE.,Windows,Free to try,Zeus for Windows
167,Compile your code and create EXE files on PC.,Windows,Free,Inno Setup Compiler
168,Compile your code and create EXE files on PC.,Windows,Free,Inno Setup Compiler
169,Develop apps for mobile devices easily.,Windows,Free to try,NSB AppStudio
170,Manage SQL Server 2005 Express Edition and SQL Server 2005 Express Edition with advanced services.,Windows,Free,Microsoft SQL Server Management Studio Express (32-bit)
171,Use this slim HTML editor to create Web pages.,Windows,Free to try,40tude HTML
172,"Design, deploy, and support applications on various Windows platforms.",Windows,Free,Microsoft Windows Application Compatibility Toolkit
173,Diisplay Flash movies within Java applications.,Windows,$95.00,JFlashPlayer
174,Get your own Web site up and running with this open-source blogging platform.,Windows,Free,WordPress
175,Convert RGB decimal values into hex triplets.,Windows,Free,Color Cop
176,"Create professional and great looking Web sites for desktop, tablet and mobile devices.",Windows,Free to try,Website Realizer
177,Write and test PHP scripts and HTML pages.,Windows,Free to try,DzSoft PHP Editor
178,Create and compile custom standalone self managed database applications.,Windows,Free to try,Database Designer SDK
179,Type Arabic and English simultaneously.,Windows,Free to try,Arabic Editor
180,Get an open source software implementation of the Java Servlet and JavaServer Pages technologies.,Windows,Free,Apache Tomcat (32 bit)
181,Install the runtime components of Visual C++ libraries.,Windows,Free,Microsoft Visual C++ 2008 SP1 Redistributable Package (x86)
182,Convert video files from one format to another.,Windows,Free to try,NCTVideoStudio ActiveX DLLs
183,Install runtime components of Visual C++ Libraries.,Windows,Free,Microsoft Visual C++ 2005 SP1 Redistributable Package (x86)
184,"Create Windows installers, setup wizards, and uninstallers.",Windows,Free to try,FileStream InstallConstruct
185,Get a product and serial key protection application for your .NET software.,Windows,Free to try,Serial Key Maker
186,Create 3D games and add 3D content to your applications.,Windows,Free,3D Developer Studio for Microsoft Visual C++
187,Create and edit images in ASP and VB applications.,Windows,Free to try,ASP Painter
188,Compile the VLC Media Player from its tarball source code.,Windows,Free,VLC Media Player source code
189,Optimize developer and administrator productivity in MySQL.,Windows,Free,Toad for MySQL
190,Add nifty visual effects to your applications.,Windows,Free,ActiveCandy
191,Create Web pages with this HTML editor.,Windows,Free,Sothink HTML Editor
192,"Get advanced HTML, CSS, or PHP editor.",Windows,Free to try,TSW WebCoder
193,"Build applications, applets, and components using the Java programming language.",Windows,Free,Java SE Development Kit 7
194,Build Perl CGI scripts with this full-featured IDE.,Windows,Free to try,Perl Builder
195,Analyze your source code and view its flowchart graphical presentation.,Windows,Free to try,Code Visual to Flowchart
196,It will instantly make the process of your application not be killed by taskmgr,Windows,Free to try,Process Guard Component
197,Update Visual Studio 2010 to the latest service pack updates.,Windows,Free,Microsoft Visual Studio 2010 Service Pack 1
198,Find and remove registry keys related to non-existing COM components.,Windows,Free,Regfixer
199,Create and update Web sites without HTML skills.,Windows,Free to try,Site Studio
200,"Generate web, cloud and mobile apps in record time, straight from your database.",Windows,Free to try,Iron Speed Designer
201,Build Graphical User Interface (GUI) and have its code written for you.,Windows,Free,Java Gui Builder
202,"Create a modern responsive Web site or online store compatible with mobiles, tablets, PCs, and TVs.",Windows,Free,ToWeb
203,add ActiveX controls to HTML pages,Windows,Free,Microsoft ActiveX Control Pad
204,Explore six programs that illustrate advanced uses of Visual Basic.,Windows,Free,Fun Visual Basic Projects
205,Edit XML using either a tree view or a syntax-highlighted source.,Windows,Free,Peter's XML Editor
206,Launch your Java application starting from an .exe file.,Windows,Free,JavaExe
207,Transform your PDF files into a single HTML document.,Windows,Free to try,Advanced PDF to HTML converter
208,Convert MS Word 2007 and OpenOffice documents into RTF format.,Windows,Free,Docx2Rtf
209,"Create and manage site content, links, forums, classified ads, downloads, and surveys.",Windows,Free,ASPapp Portal
210,Track the number of visitors to your Web site.,Windows,Free to try,Web Counter
211,Compare files in binary format and edit them.,Windows,Free to try,HexCmp
212,Generate realistic looking test data for your SQL Server.,Windows,Free to try,JumpStart
213,"Take full advantage of highly executable, feature-rich, multi-language, simultaneous text and source code editing. ",Windows,Free,Notepad++ (64-bit)
214,Create Web sites and photo albums without any HTML knowledge.,Windows,Free,SiteGenWiz
215,Create Entity Relationship Diagrams for your database systems.,Windows,Free to try,Case Studio 2
216,Manage and update the contents of your Web site.,Windows,Free to try,Site Publisher
217,"Query ODBC data sources, author SQL scripts, and execute multiple SQL scripts simultaneously.",Windows,Free to try,SQL Query Tool (Using ODBC)
218,Generate ASP frameworks from Microsoft Access databases.,Windows,Free,ASP Wizard
219,Make up and publish your own Website without editing HTML code.,Windows,Free,Namu6
220,Reduce complexity of software system design.,Windows,Free to try,Poseidon for UML Community Edition
221,Design Web buttons and navigation bars.,Windows,Free to try,Crystal Button 2008
222,"Find data races, deadlocks and latent errors in multi-threaded C, C++ and Fortran applications.",Windows,Free to try,Intel Thread Checker
223,Design your own Web site.,Windows,Free to try,Amiasoft SiteAid
224,"Execute multiple T-SQL scripts against multiple SQL Server, DB2, and MySQL databases.",Windows,Free,xSQL Script Executor
225,Facilitate transfer of data between 2007 Microsoft Office System files and non-Microsoft Office applications.,Windows,Free,2007 Office System Driver: Data Connectivity Components
226,"Create, navigate, modify, and debug programming code fast and accurately.",Windows,Free to try,SlickEdit 2012
227,Keep a watchful eye on your Web site's links and images.,Windows,Free,Xenu's Link Sleuth
228,HTML & PHP text editor.,Mac,Free to try,Taco HTML Edit
229,Install and configure your products and applications reducing the total cost of ownership.,Windows,Free,Windows Installer (Windows Vista/Server 2008)
230,installs runtime components of Visual C++ Libraries,Windows,Free,Microsoft Visual C++ 2005 Redistributable
231,"Create, integrate, and utilize software tools in a plug-in based framework.",Windows,Free,Eclipse Classic (64 bit)
232,Run Microsoft Office based solutions built using Microsoft Visual Studio 2010.,Windows,Free,Visual Studio 2010 Tools for Office Runtime (32-bit)
233,"Create a virtual handheld device on your PC to write, test, and debug Palm software.",Windows,Free,Palm OS Emulator
234,List parsing errors as you type to ensure that your document is correct.    ,Windows,Free,XRay XML Editor
235,Master Web page design with an HTML editor designed for novices.,Windows,Free to try,HotDog PageWiz
236,Get reference documentation for MODI object model and MODI Viewer ActiveX control in Help file form.,Windows,Free,Office 2003: Microsoft Office Document Imaging Visual Basic Reference (MODI)
237,Develop applications with high-performance graphics.,Windows,Free,Animation Studio
238,Create and manage professional quality Web sites.,Mac,Free to try,Microsoft FrontPage
239,Download a library for creating CGI scripts in Perl.,Windows,Free,Cgi-lib.pl
240,"Create, edit, and administer your MySQL databases.",Windows,Free,MySQL-Front
241,"Get advanced threading for fast, scalable, parallel applications with widely used C++ library.",Windows,Free,Intel Threading Building Blocks
242,Update mscomctl.ocx and comctl32.ocx.,Windows,Free,Microsoft Visual Basic 6 Common Controls
243,Control spreadsheet grid in your Realbasic apps.,Mac,Free to try,Grid
244,"Create drop-down menus, bars, and buttons for your Web site.",Windows,Free to try,Apycom Java Menus and Buttons
245,Application development tool,Windows,$109.00,Microsoft Visual C++ Standard Edition
246,Renovate your lost C++Builder project sources.,Windows,Free to try,Delphi and C++Builder Decompiler
247,Generate calendars in HTML according to user defined color and font style settings.,Windows,Free to try,HTML Calendar Maker Pro
248,Compose and publish blog posts for Windows Live Spaces or a number of other platforms.,Windows,Free,Windows Live Writer for Windows XP
249,"Take full advantage of highly executable, feature-rich, multi-language, simultaneous text and source code editing.  ",Windows,Free,Notepad++ Portable
250,Enable your applications to work with audio data.,Windows,Free to try,NCTAudioStudio ActiveX DLL
251,"Convert plain Java SE, Eclipse RCP, and Tomcat Web applications into native Windows executable.",Windows,Free to try,Excelsior JET
252,"Modify, add, and remove text, images, icons, sounds, videos in applications.",Windows,Free to try,Restorator 2007
253,"Manage MySQL, PostgreSQL, Interbase/Firebird, SQlite, and DBF Tables in only one application.",Windows,Free to try,DBManager Standard Edition
254,Create Windows installer packages on your own.,Windows,Free to try,wItem Installer
255,Enhance your Web pages using Flash movies or Java applets.,Windows,Free to try,AnFX
256,"Browse, edit, and modify file resources contained in Windows executable files.",Windows,Free to try,Resource Tuner
257,Build Web sites and online applications based on content management system.,Windows,Free,Joomla
258,Create your own database-driven mobile products.,Windows,Free to try,SQL Anywhere Developer Edition
259,Create controlled animations for your Web site.,Windows,Free,AniS
260,Remove VBA passwords and unlock VBA projects.,Windows,Free to try,Remove VBA Password
261,Learn how to create and design your own Access databases.,Windows,Free,Microsoft Access 101 Tutorial
262,"Edit, debug, and test Python based applications on PC.",Windows,Free,Spyder (64-bit)
263,Translate C code sources into Java classes with this application.,Windows,Free,C To Java Converter
264,Compile movie files into Macromedia Flash files.,Windows,Free,Flash Compiler & Decompiler
265,"Edit, debug, and test Python based applications on PC.",Windows,Free,Spyder (64-bit)
266,Get a single consistent interface for various databases.,Windows,Free to try,SQL Developer
267,Learn how to develop in java on introductory level.,Windows,Free,BlueJ
268,Manage business database applications.,Mac,Free,MySQL Database Server
269,Manage various databases.,Windows,Free to try,DBEasy
270,"Manage company news, events, projects, chat, forums, Web links, files, and documents.",Windows,Free,ASP Intranet
271,Update your MS Office XP.,Windows,Free,Office XP Update: Service Pack 2 (SP2)
272,Prevent attackers from controlling your computer.,Windows,Free,.NET Framework 1.0 GDIPLUS.DLL Security Update
273,"Create ERD models, SQL scripts and Java source for forward engineering of relational databases.",Windows,Free to try,Database Design Studio Lite
274,Get a C/C++ compiler and IDE for your Linux system.,Linux,Free,Dev-C++ for Linux
275,Diagnose application and system bottlenecks and tune them for better performance.,Windows,Free to try,HP LoadRunner
276,Make customized calendars for any year.,Windows,Free,Sonali Calendar
277,Create advanced applications for Windows CE .NET.,Windows,Free to try,Microsoft eMbedded Visual C++
278,Add more useful scripts to your Web site.,Windows,Free,10 Useful DHTML Scripts Collection
279,Try this high-level scripting/programming language.,Windows,Free,Python Interpreter
280,Install required .NET Framework runtime and associated files to run 64-bit applications.,Windows,Free,Microsoft .NET Framework Version 2.0 Redistributable Package (x64)
281,Learn how to access and maintain databases using Visual Basic.,Windows,Free to try,Visual Basic 2005 and Databases
282,Run and develop applications targeting .NET Framework.,Windows,Free,Microsoft .NET Framework Redistributable Package
283,"Create XML, DTD, CSS, and Schema documents.",Windows,Free to try,EditML Pro
284,Add integrated support for Android projects and tools into Eclipse with this open-source plug-in.,Windows,Free,Android Development Tools (ADT)
285,"Explore, browse, and analyze .NET assemblies.",Windows,Free to try,Red Gate's .NET Reflector
286,Develop and manage MySQL databases.,Windows,Free,DreamCoder for MySQL Enterprise Freeware
287,Convert ODBC or Microsoft Office data to XML format.,Windows,Free to try,XML Converter Standard Edition
288,Convert ODBC or Microsoft Office data to XML format.,Windows,Free to try,XML Converter Standard Edition
289,Convert FLV and SWF files to various file formats.,Windows,Free to try,Ultra Flash Video FLV Converter
290,Install any version of MS Visual Basic runtime files.,Windows,Free,Service Pack 6 for Visual Basic 6.0: Run-Time Redistribution Pack (vbrun60sp6.exe)
291,Generate executables using the Pascal programming language.,Windows,Free to try,Irie Pascal
292,Create quick and flexible installation applications.,Windows,Free to try,Quick Install Maker Pro
293,Maintain your HTTP server with basic features.,Windows,Free to try,Sambar Server
294,"Perform revision control, version control, and source control for Windows.",Windows,Free,TortoiseSVN (64-bit)
295,Test your RS-232 communications port.,Windows,Free to try,Look RS232
296,Convert HTM/HTML into image files.,Windows,Free,Free Htm/Html to Image Jpg/Jpeg Converter
297,Integrate speech capabilities into your Microsoft Agent characters.,Windows,Free,TruVoice for Microsoft Agent
298,Manage and edit your projects with multiple features.,Windows,Free,LEd - LaTeXEditor
299,Work on software engineering tasks using UML.,Windows,Free to try,Metamill
300,"Edit VBS files with drag-and-drop, find-and-replace, syntax coloring, and undo and redo.",Windows,Free to try,VbsEdit
301,"Graphically create complex software designs, patterns, and architectures.",Windows,Free,ProxyDesigner
302,Get image filters and file converters for your MS Office programs.,Windows,Free,Office File Converter Pack
303,Manage and handle SPSS file data.,Windows,Free to try,SPSS Library for Delphi developers
304,Churn out numerous Web pages.,Windows,Free,Web-O-Rama Standard
305,Navigate through your Web site rendering links into tab and tree or DHTML outlines.,Windows,Free to try,Auscomp eNavigator Suite
306,Fix a static domain name to a dynamic IP address.,Windows,Free to try,TZO Dynamic DNS w/ Photo Sharing
307,"Web authoring tool; HTML, XHTML, CSS, PHP...",Mac,Free to try,PageSpinner
308,Create Windows and compiled HTML help files.,Windows,Free to try,HelpScribble
309,Program in Perl on the Mac.,Mac,Free,MacPerl
310,Solve problems discussed in security bulletin MS06-016.,Windows,Free,Update for Outlook Express 6.0 on Microsoft Windows XP (KB918766)
311,Develop and manage Oracle databases on your Windows PC.,Windows,Free to try,Toad for Oracle (64-bit)
312,Develop and manage Oracle databases on your Windows PC.,Windows,Free to try,Toad for Oracle (64-bit)
